scheme,candidate,feature,global_center,bin,low,high,feature_center,events,signal_center,relative_response
event_random5,A0_raw,dt_us,1.0001299065761815,0,10.112,292.3052,214.621,900,1.0156929252201894,1.0155609971681439
event_random5,A0_raw,dt_us,1.0001299065761815,1,292.3052,380.4608,339.883,900,0.9919698148937997,0.9918409682295004
event_random5,A0_raw,dt_us,1.0001299065761815,2,380.4608,458.34200000000004,417.798,900,0.9850220282539288,0.9848940840355703
event_random5,A0_raw,dt_us,1.0001299065761815,3,458.34200000000004,553.3672,501.149,900,0.9904024006121833,0.990273757538859
event_random5,A0_raw,dt_us,1.0001299065761815,4,553.3672,842.3,635.726,900,1.0247558469518774,1.024622741719623
event_random5,A0_raw,r2,1.0001299065761815,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0721418279519876,1.072002567768751
event_random5,A0_raw,r2,1.0001299065761815,1,116121.5027526799,125947.79815012205,122035.51647905367,900,1.003549080629941,1.0034187299382582
event_random5,A0_raw,r2,1.0001299065761815,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9870832281584252,0.986955016211424
event_random5,A0_raw,r2,1.0001299065761815,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9848988715071781,0.9847709432856129
event_random5,A0_raw,r2,1.0001299065761815,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9698295689627012,0.9697035980883627
event_random5,A1_s2_lifetime,dt_us,0.9968474076922313,0,10.112,292.3052,214.621,900,0.9572286373180008,0.9602559327851886
event_random5,A1_s2_lifetime,dt_us,0.9968474076922313,1,292.3052,380.4608,339.883,900,0.9768731937594097,0.979962616365665
event_random5,A1_s2_lifetime,dt_us,0.9968474076922313,2,380.4608,458.34200000000004,417.798,900,0.9838521543739569,0.9869636483798866
event_random5,A1_s2_lifetime,dt_us,0.9968474076922313,3,458.34200000000004,553.3672,501.149,900,1.0155599738399466,1.0187717458091565
event_random5,A1_s2_lifetime,dt_us,0.9968474076922313,4,553.3672,842.3,635.726,900,1.05869785972085,1.0620460579536508
event_random5,A1_s2_lifetime,r2,0.9968474076922313,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0768776040435517,1.080283296855429
event_random5,A1_s2_lifetime,r2,0.9968474076922313,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9880613159349958,0.9911861216777642
event_random5,A1_s2_lifetime,r2,0.9968474076922313,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9875590904674493,0.9906823078907482
event_random5,A1_s2_lifetime,r2,0.9968474076922313,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9957088985450294,0.9988578902463742
event_random5,A1_s2_lifetime,r2,0.9968474076922313,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9760826598397783,0.9791695823330424
event_random5,A2_s1_dt_r2,dt_us,1.0001724118186917,0,10.112,292.3052,214.621,900,1.0500802067800783,1.0498991917509857
event_random5,A2_s1_dt_r2,dt_us,1.0001724118186917,1,292.3052,380.4608,339.883,900,1.0245030369564185,1.0243264309735205
event_random5,A2_s1_dt_r2,dt_us,1.0001724118186917,2,380.4608,458.34200000000004,417.798,900,1.005485497755054,1.005312170055462
event_random5,A2_s1_dt_r2,dt_us,1.0001724118186917,3,458.34200000000004,553.3672,501.149,900,0.9756830658837151,0.975514875589854
event_random5,A2_s1_dt_r2,dt_us,1.0001724118186917,4,553.3672,842.3,635.726,900,0.9489390110179046,0.9487754309203297
event_random5,A2_s1_dt_r2,r2,1.0001724118186917,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.055218592536567,1.0550366917417573
event_random5,A2_s1_dt_r2,r2,1.0001724118186917,1,116121.5027526799,125947.79815012205,122035.51647905367,900,1.033722388831253,1.0335441935971368
event_random5,A2_s1_dt_r2,r2,1.0001724118186917,2,125947.79815012205,131626.35543508327,128983.76821730396,900,1.001359496150648,1.0011868796998686
event_random5,A2_s1_dt_r2,r2,1.0001724118186917,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9737512656844531,0.9735834083983631
event_random5,A2_s1_dt_r2,r2,1.0001724118186917,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9452831693577393,0.9451202194618196
event_random5,A3_s2_lifetime_r2,dt_us,0.999810899422759,0,10.112,292.3052,214.621,900,0.9381879003740181,0.9383653458025724
event_random5,A3_s2_lifetime_r2,dt_us,0.999810899422759,1,292.3052,380.4608,339.883,900,0.9703165813067576,0.9705001034365298
event_random5,A3_s2_lifetime_r2,dt_us,0.999810899422759,2,380.4608,458.34200000000004,417.798,900,0.9923743640203696,0.9925620580784997
