scheme,candidate,outer_fold,inner_validation_fold,train_events,test_events,alpha,train_energy_scale,events_total,events_finite,finite_fraction,median,r68,r90,tail_beyond_2r68,outside_20pct,low_tail_20pct,high_tail_20pct
event_random5,A0_raw,0,1,3600,900,0.55,1.0249833509581876,900,900,1.0,1.0067496460269767,0.08029805840942583,0.14729602149438908,0.08222222222222222,0.042222222222222223,0.0011111111111111111,0.04111111111111111
event_random5,A0_raw,1,2,3600,900,0.55,1.0120144345829032,900,900,1.0,1.0063978135398972,0.07594610025855025,0.14296680747264096,0.07777777777777778,0.028888888888888888,0.0011111111111111111,0.027777777777777776
event_random5,A0_raw,2,3,3600,900,0.55,1.0260532293877822,900,900,1.0,1.0028177885824245,0.08496529778646389,0.15174848617078063,0.07,0.04111111111111111,0.0033333333333333335,0.03777777777777778
event_random5,A0_raw,3,4,3600,900,0.55,1.013315249448822,900,900,1.0,1.002592060239341,0.0733362671671074,0.14631700010930432,0.10111111111111111,0.03777777777777778,0.0022222222222222222,0.035555555555555556
event_random5,A0_raw,4,0,3600,900,0.5,1.0173676872679835,900,900,1.0,1.00197285008037,0.07920766856106476,0.1414648256951438,0.07111111111111111,0.034444444444444444,0.005555555555555556,0.028888888888888888
event_random5,A1_s2_lifetime,0,1,3600,900,0.35,1.0208511290158264,900,900,1.0,0.9952759958081168,0.08998410057069711,0.165535629944923,0.07111111111111111,0.04777777777777778,0.022222222222222223,0.025555555555555557
event_random5,A1_s2_lifetime,1,2,3600,900,0.30000000000000004,1.01996911276244,900,900,1.0,0.9910819533506063,0.09285099031951716,0.1718438361625237,0.07555555555555556,0.052222222222222225,0.034444444444444444,0.017777777777777778
event_random5,A1_s2_lifetime,2,3,3600,900,0.4,1.010155601946282,900,900,1.0,1.00122311969526,0.09826796061411502,0.17329462036023263,0.056666666666666664,0.05444444444444444,0.027777777777777776,0.02666666666666667
event_random5,A1_s2_lifetime,3,4,3600,900,0.35,1.0158540743876718,900,900,1.0,0.9913657457369722,0.0930990378448105,0.16987531204658346,0.07333333333333333,0.056666666666666664,0.03,0.02666666666666667
event_random5,A1_s2_lifetime,4,0,3600,900,0.4,1.0143078242887533,900,900,1.0,0.9945578083265079,0.09234111140302848,0.16579231070038059,0.07111111111111111,0.04888888888888889,0.01888888888888889,0.03
event_random5,A2_s1_dt_r2,0,1,3600,900,0.7000000000000001,1.010974449944741,900,900,1.0,1.01028072164846,0.09096214851136142,0.1729823431796576,0.09555555555555556,0.07111111111111111,0.0011111111111111111,0.07
event_random5,A2_s1_dt_r2,1,2,3600,900,0.75,1.004202277433789,900,900,1.0,1.0093392149182636,0.09235771532002623,0.1701851811224835,0.07444444444444444,0.057777777777777775,0.0,0.057777777777777775
event_random5,A2_s1_dt_r2,2,3,3600,900,0.75,1.0106390799581533,900,900,1.0,1.0145724590322225,0.09686388065225382,0.18782826246650852,0.08444444444444445,0.07888888888888888,0.0077777777777777776,0.07111111111111111
event_random5,A2_s1_dt_r2,3,4,3600,900,0.75,1.0050252445488037,900,900,1.0,1.0110484163363669,0.08647894436375742,0.17117130296229338,0.08333333333333333,0.06555555555555556,0.0022222222222222222,0.06333333333333334
event_random5,A2_s1_dt_r2,4,0,3600,900,0.7000000000000001,1.003654925721407,900,900,1.0,1.0074312807106716,0.08540193059363005,0.15828633803871217,0.07111111111111111,0.04777777777777778,0.0,0.04777777777777778
event_random5,A3_s2_lifetime_r2,0,1,3600,900,0.25,1.0104368002392108,900,900,1.0,0.9996159005024712,0.0823705935316228,0.15030809306672516,0.07,0.03666666666666667,0.03222222222222222,0.0044444444444444444
event_random5,A3_s2_lifetime_r2,1,2,3600,900,0.25,1.0108483224893126,900,900,1.0,0.9948249098981572,0.08379706299021877,0.15764626813341098,0.08333333333333333,0.042222222222222223,0.03111111111111111,0.011111111111111112
event_random5,A3_s2_lifetime_r2,2,3,3600,900,0.25,1.0107682286269006,900,900,1.0,0.99192568852532,0.08551879612148944,0.1599346164423312,0.08666666666666667,0.052222222222222225,0.04111111111111111,0.011111111111111112
event_random5,A3_s2_lifetime_r2,3,4,3600,900,0.30000000000000004,1.0116774545344702,900,900,1.0,0.9929873842029436,0.08720201624941198,0.15095238993420745,0.06555555555555556,0.04,0.025555555555555557,0.014444444444444444
event_random5,A3_s2_lifetime_r2,4,0,3600,900,0.30000000000000004,1.013540552566221,900,900,1.0,0.9880770364139945,0.08947121147700521,0.1621269799533867,0.07777777777777778,0.044444444444444446,0.03111111111111111,0.013333333333333334
event_random5,A4_both,0,1,3600,900,0.45000000000000007,1.005883896837891,900,900,1.0,1.0008618011834087,0.06724231524967056,0.13714421245833802,0.10666666666666667,0.025555555555555557,0.01,0.015555555555555555
event_random5,A4_both,1,2,3600,900,0.45000000000000007,1.0055438507207446,900,900,1.0,1.0005067872221636,0.06296341453272186,0.12597413155193793,0.10333333333333333,0.016666666666666666,0.01,0.006666666666666667
event_random5,A4_both,2,3,3600,900,0.55,1.0040019387972663,900,900,1.0,1.0007866765928868,0.08048882380951067,0.14778057332246736,0.07333333333333333,0.03888888888888889,0.0044444444444444444,0.034444444444444444
event_random5,A4_both,3,4,3600,900,0.5,1.0065228097988386,900,900,1.0,0.9985560345163839,0.06692847830220217,0.1268790667127498,0.09333333333333334,0.021111111111111112,0.0022222222222222222,0.01888888888888889
event_random5,A4_both,4,0,3600,900,0.45000000000000007,1.00422004301622,900,900,1.0,0.9978059097189343,0.06757924978299656,0.13330877309797834,0.09444444444444444,0.02666666666666667,0.013333333333333334,0.013333333333333334
