scheme,candidate,label,correction_only_retention,mean_alpha,std_alpha,events_total,events_finite,finite_fraction,median,r68,r90,tail_beyond_2r68,outside_20pct,low_tail_20pct,high_tail_20pct,dt_us_response_ptp,dt_us_response_std,r2_response_ptp,r2_response_std,raw_r68,raw_r90,raw_outside_20pct,delta_r68_vs_raw,ratio_r68_vs_raw,delta_r90_vs_raw,delta_outside_20pct_vs_raw
event_random5,A4_both,"S1(dt,r2) + S2B(lifetime,r2)",1.0,0.4800000000000001,0.04472135954999577,4500,4500,1.0,0.9997418314874542,0.06748038209524537,0.1334014012882797,0.09622222222222222,0.025555555555555557,0.0077777777777777776,0.017777777777777778,0.02378678553308422,0.009114468217444138,0.052299708845660264,0.018679577479780204,0.07842177482320878,0.1472316970487197,0.037333333333333336,-0.010941392727963406,0.8604801695367226,-0.013830295760439981,-0.01177777777777778
event_random5,A0_raw,raw S1 + raw S2B,1.0,0.54,0.022360679774997918,4500,4500,1.0,1.0038415622999926,0.07842177482320878,0.1472316970487197,0.08155555555555556,0.037333333333333336,0.0024444444444444444,0.034888888888888886,0.03972865768405265,0.017517389790513108,0.10229896968038832,0.04018468288450488,0.07842177482320878,0.1472316970487197,0.037333333333333336,0.0,1.0,0.0,0.0
event_random5,A3_s2_lifetime_r2,"raw S1 + S2B(lifetime,r2)",1.0,0.27,0.02738612787525833,4500,4500,1.0,0.9925356303774019,0.08589175144781941,0.1567962343425811,0.07555555555555556,0.042222222222222223,0.03177777777777778,0.010444444444444444,0.12559481465259592,0.04805988753341059,0.03847714521329726,0.015319020231048133,0.07842177482320878,0.1472316970487197,0.037333333333333336,0.00746997662461063,1.0952538582740659,0.00956453729386142,0.004888888888888887
event_random5,A2_s1_dt_r2,"S1(dt,r2) + raw S2B",1.0,0.7300000000000001,0.02738612787525827,4500,4500,1.0,1.0107204446376974,0.09093118058655025,0.17317169309681085,0.0811111111111111,0.06444444444444444,0.0017777777777777779,0.06266666666666666,0.101123760830656,0.03978212745050356,0.10991647227993773,0.04430274475023593,0.07842177482320878,0.1472316970487197,0.037333333333333336,0.012509405763341475,1.1595144434252123,0.025939996048091163,0.027111111111111107
event_random5,A1_s2_lifetime,raw S1 + S2B exponential lifetime,1.0,0.36,0.04183300132670378,4500,4500,1.0,0.9946498927762979,0.09389451025945139,0.17010875698267425,0.07022222222222223,0.05177777777777778,0.026444444444444444,0.025333333333333333,0.1017901251684622,0.03981308148529898,0.1011137145223866,0.040994660321979334,0.07842177482320878,0.1472316970487197,0.037333333333333336,0.015472735436242613,1.1973015207973015,0.022877059933954558,0.01444444444444444
