name,feature_set,feature_count,alpha,cap,calibration_r68,calibration_r90,calibration_applied_median,calibration_near_cap_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_ratio,background_spike_center,background_spike_growth,background_r68,safe,score
geometry_a10_c5,geometry,7,10.0,0.005,0.06457756954725748,0.12467100012381654,0.350104821802935,0.0,0.15790935747723647,0.0638715983332476,0.8390966613508926,0.0,0.001257366150840995,0.9999963915231587,1.4545454545454546,3047.5,0.9944341372912802,0.5819120389173448,True,0.06709230184893947
geometry_ratio_a1000_c3,geometry_ratio,11,1000.0,0.003,0.06484637773719143,0.12448454424041547,0.2140391254315305,0.0,0.04119553474972992,0.404599002006276,0.9573229075569731,0.0,0.0015359941281169083,0.9999994433836558,1.446808510638298,2707.5,0.989144594007816,0.5818457419022309,True,0.06791836599342524
geometry_ratio_a10_c3,geometry_ratio,11,10.0,0.003,0.06468375096452016,0.12431424499403161,0.12888377445339472,0.0,0.025978702608158856,0.404599002006276,0.9672822676063584,0.0,0.0016217321101290342,0.9999996161036148,1.4014598540145986,2707.5,0.9581409206018174,0.581846198066911,True,0.06792721518477822
geometry_a1000_c5,geometry,7,1000.0,0.005,0.06451197326693611,0.12440649043820196,0.5406911928651059,0.0,0.2128195894850558,0.0638715983332476,0.7838057513246566,0.0,0.001992779693308422,0.9999944307112129,1.4545454545454546,2932.5,0.9944341372912802,0.5818967498910342,True,0.06849753265355296
geometry_a10_c7,geometry,7,10.0,0.0075,0.06441546726657287,0.12402130707408933,0.5044150110375276,0.0,0.2296517310561243,0.0638715983332476,0.7656772467719533,0.0,0.002172759294898328,0.9999881219960197,1.4166666666666667,2807.5,0.9685374149659864,0.5820838604302682,True,0.06876098585636953
geometry_ratio_a100_c5,geometry_ratio,11,100.0,0.005,0.06481146321836571,0.1242622730719275,0.22536687631027252,0.0,0.04613406039405319,0.404599002006276,0.9514995627347086,0.0,0.0022863667615343392,0.9999981600008926,1.3535353535353536,2787.5,0.9253762110904968,0.5818932512645845,True,0.0693841967414344
geometry_a100_c5,geometry,7,100.0,0.005,0.06449833881304376,0.1248211874501028,0.37945492662473795,0.0,0.15110859612119965,0.0638715983332476,0.8463192551057153,0.0,0.0030570273791525426,0.9999961681609046,1.4558823529411764,2707.5,0.9953481392557022,0.5819129524602569,True,0.07061239357134884
geometry_ratio_a10_c5,geometry_ratio,11,10.0,0.005,0.06471810183464989,0.12444929263418654,0.19536423841059603,0.0,0.04271824682339626,0.404599002006276,0.946550748495293,0.0,0.0030044518543732215,0.9999983016159933,1.3775510204081634,2607.5,0.9417950853810912,0.5818881305578236,True,0.07072700554339634
geometry_ratio_a1000_c5,geometry_ratio,11,1000.0,0.005,0.06468144709969748,0.12422902318415922,0.3489702517162471,0.0,0.06926282216163383,0.404599002006276,0.9280107001388961,0.0,0.0034145405930176755,0.9999974196589272,1.4545454545454546,2707.5,0.9944341372912802,0.5819463104497412,True,0.07151052828573283
geometry_a100_c7,geometry,7,100.0,0.0075,0.06426776928429836,0.1239723435520476,0.5395763656633222,0.0,0.23397294099490715,0.0638715983332476,0.761674983281033,0.0,0.004831209147146961,0.9999867313816603,1.4275362318840579,1907.5,0.9759686483288967,0.5822055876779064,True,0.0739301875785923
geometry_ratio_a100_c7,geometry_ratio,11,100.0,0.0075,0.06460089081215975,0.1242637966012512,0.3311036789297659,0.0,0.06836771438860023,0.404599002006276,0.927856371212511,0.0,0.004927654644000377,0.9999939841253616,1.451851851851852,2707.5,0.9925925925925927,0.5820111849947608,True,0.0744562001001605
geometry_ratio_a10_c7,geometry_ratio,11,10.0,0.0075,0.06463341435555003,0.12444293213625286,0.2909698996655518,0.0,0.06398477287926334,0.404599002006276,0.9210864756417512,0.0,0.005043729676249244,0.9999942705290362,1.4339622641509433,2997.5,0.9803619561031959,0.581955075441746,True,0.07472087370804853
geometry_a1000_c3,geometry,7,1000.0,0.003,0.06462354276764787,0.12449274624823228,0.3333333333333333,0.0,0.13113843304696743,0.0638715983332476,0.8671022171922425,0.0,0.0009495798670544469,0.9999987541245813,1.469387755102041,2997.5,1.0045814244064974,0.5819295498137149,True,0.07568555131475166
geometry_a1000_c10,geometry,7,1000.0,0.01,0.06372760043005694,0.12286428717748848,0.8300220750551877,0.0,0.3902361232573692,0.0638715983332476,0.5986624826379958,0.0,0.006469892825684189,0.9999622158276906,1.4583333333333333,3027.5,0.9970238095238094,0.5817891806177091,True,0.07666738608142531
geometry_a100_c10,geometry,7,100.0,0.01,0.06395200295940158,0.1234130391987411,0.6688741721854304,0.0,0.31089047790524205,0.0638715983332476,0.6828746334687998,0.0,0.006559588597526821,0.9999692133275744,1.372093023255814,2882.5,0.938063597532036,0.5822019788069446,True,0.07707118015445522
geometry_ratio_a100_c3,geometry_ratio,11,100.0,0.003,0.06489566284537186,0.12458562787752035,0.13489409141583056,0.0,0.027347085755440096,0.404599002006276,0.9712742425021863,0.0,0.0011447635656774788,0.9999996170275589,1.4705882352941178,2707.5,1.0054021608643458,0.5818595358859767,True,0.07798951170541832
geometry_ratio_a1000_c7,geometry_ratio,11,1000.0,0.0075,0.06430165373082786,0.12380209316483921,0.4948216340621404,0.0,0.10351355522403416,0.404599002006276,0.8924533154997685,0.0,0.007415832962886722,0.999991682763387,1.4146341463414633,3067.5,0.9671478347436535,0.582084249150781,True,0.07913331965660131
geometry_ratio_a10_c10,geometry_ratio,11,10.0,0.01,0.06435520353667613,0.12433716041289954,0.3857302118171683,0.0,0.08430474818663511,0.404599002006276,0.8964247132054118,0.0,0.007979727021356523,0.999986662879877,1.3725490196078431,2997.5,0.938375350140056,0.5819833388789799,True,0.08031465757938919
geometry_a10_c3,geometry,7,10.0,0.003,0.06459883435473403,0.12484373282498369,0.2138364779874214,0.0,0.09940840578219044,0.0638715983332476,0.8987396471011884,0.0,0.0007454726527623543,0.9999991793291546,1.476923076923077,2932.5,1.0097331240188383,0.5818272665249872,True,0.08555602769793534
geometry_ratio_a100_c10,geometry_ratio,11,100.0,0.01,0.06425637338524287,0.1244984121186186,0.43498273878020716,0.0,0.09063223416842431,0.404599002006276,0.903781058696435,0.0,0.008390696895443505,0.9999859855992117,1.4791666666666667,2787.5,1.0112670068027212,0.5820820857317467,True,0.10357178078157227
geometry_a100_c3,geometry,7,100.0,0.003,0.06470972126021453,0.12486141178660899,0.2329988851727982,0.0,0.08871855548124903,0.0638715983332476,0.909830752610731,0.0,0.0011660837986926225,0.9999991658551023,1.5,2997.5,1.0255102040816326,0.5818706568382676,True,0.11806229702086503
geometry_a1000_c7,geometry,7,1000.0,0.0075,0.06397631395699616,0.12336763294547978,0.7130242825607064,0.0,0.3060754154020269,0.0638715983332476,0.6871649776223057,0.0,0.004041476994255638,0.9999825353851549,1.53125,2932.5,1.046875,0.5818087405064025,True,0.16580926794550743
geometry_a10_c10,geometry,7,10.0,0.01,0.06379094802020831,0.12317901932036941,0.6291390728476821,0.0,0.2951283502237769,0.0638715983332476,0.6983486804876794,0.0,0.0029725191809962803,0.9999727489947514,1.5348837209302326,2852.5,1.049359278595159,0.5820634804892936,True,0.16845454357251904
geometry_ratio_a1000_c10,geometry_ratio,11,1000.0,0.01,0.06392789179622142,0.12364863200643952,0.6156501726121979,0.0,0.13662225423118474,0.404599002006276,0.8575749781367354,0.0,0.010701297182244815,0.9999814502242745,1.5384615384615385,2997.5,1.0518053375196232,0.582481068979597,False,0.18894116119995755
