scheme,candidate,metric,q025,median,q975,replicates
file_mod5,A1_s2_lifetime,delta_r68_vs_raw,0.012788031542424912,0.015361945519094172,0.017712105279930637,1000
file_mod5,A1_s2_lifetime,delta_r90_vs_raw,0.016262574609061244,0.02140044784391687,0.026290904042556178,1000
file_mod5,A1_s2_lifetime,delta_outside_20pct_vs_raw,0.007795013456240939,0.015394770648533791,0.022422743362942588,1000
file_mod5,A2_s1_dt_r2,delta_r68_vs_raw,0.010599238698217522,0.013663551696666776,0.017082286400638032,1000
file_mod5,A2_s1_dt_r2,delta_r90_vs_raw,0.019815376020355126,0.025043491100764675,0.03136284816345808,1000
file_mod5,A2_s1_dt_r2,delta_outside_20pct_vs_raw,0.018208310688413505,0.024473579812845665,0.03138637367885365,1000
file_mod5,A3_s2_lifetime_r2,delta_r68_vs_raw,0.004409691745536138,0.007465074054614412,0.010367770208120592,1000
file_mod5,A3_s2_lifetime_r2,delta_r90_vs_raw,0.0037882101685071043,0.009662307991755853,0.01497653546824198,1000
file_mod5,A3_s2_lifetime_r2,delta_outside_20pct_vs_raw,-0.0038580986396478086,0.0035955145148446506,0.011857171205117723,1000
file_mod5,A4_both,delta_r68_vs_raw,-0.012571238971293598,-0.010273480210871988,-0.007926334882216907,1000
file_mod5,A4_both,delta_r90_vs_raw,-0.018565793271385474,-0.014383039960118194,-0.009773980610792751,1000
file_mod5,A4_both,delta_outside_20pct_vs_raw,-0.018149824675317033,-0.01310142308561102,-0.0077447940993158266,1000
file_mod5,A5_both_file_linear,delta_r68_vs_raw,-0.011922047641163624,-0.009712253772965113,-0.00758368481781515,1000
file_mod5,A5_both_file_linear,delta_r90_vs_raw,-0.017846875964439957,-0.014003319777416506,-0.009815036945837222,1000
file_mod5,A5_both_file_linear,delta_outside_20pct_vs_raw,-0.017257222597925274,-0.012089241890065622,-0.006866427299186401,1000
contiguous_file_block,A1_s2_lifetime,delta_r68_vs_raw,0.012042258177611308,0.014905052074556113,0.017781405846438027,1000
contiguous_file_block,A1_s2_lifetime,delta_r90_vs_raw,0.01582760932574992,0.02094615490741747,0.025938347928177122,1000
contiguous_file_block,A1_s2_lifetime,delta_outside_20pct_vs_raw,0.007907304839056448,0.015178400406598978,0.022098194817593984,1000
contiguous_file_block,A2_s1_dt_r2,delta_r68_vs_raw,0.008921786829234769,0.012252828857802572,0.015475987815525722,1000
contiguous_file_block,A2_s1_dt_r2,delta_r90_vs_raw,0.02212805115498414,0.02743674122774753,0.03189805492038032,1000
contiguous_file_block,A2_s1_dt_r2,delta_outside_20pct_vs_raw,0.021223071316602938,0.02809620139357159,0.034476747110116,1000
contiguous_file_block,A3_s2_lifetime_r2,delta_r68_vs_raw,0.0033121589030065874,0.006250777793792323,0.009344675027019102,1000
contiguous_file_block,A3_s2_lifetime_r2,delta_r90_vs_raw,0.0032531084012472275,0.008666551323035565,0.014392527420857377,1000
contiguous_file_block,A3_s2_lifetime_r2,delta_outside_20pct_vs_raw,-0.002894733115609035,0.004809805755601661,0.011980243959390948,1000
contiguous_file_block,A4_both,delta_r68_vs_raw,-0.013447732561691036,-0.011251365725183232,-0.008984569963734056,1000
contiguous_file_block,A4_both,delta_r90_vs_raw,-0.01840406380301997,-0.014962135909030533,-0.011228780259965526,1000
contiguous_file_block,A4_both,delta_outside_20pct_vs_raw,-0.019586022701980857,-0.01412883977472345,-0.009026061087911142,1000
contiguous_file_block,A5_both_file_linear,delta_r68_vs_raw,-0.013390702876304048,-0.011186580600853091,-0.009055452469733674,1000
contiguous_file_block,A5_both_file_linear,delta_r90_vs_raw,-0.01822260207737691,-0.01467220008639547,-0.010834832532141209,1000
contiguous_file_block,A5_both_file_linear,delta_outside_20pct_vs_raw,-0.019927194373712535,-0.014402138197422669,-0.009074561067396712,1000
