scheme,candidate,outer_fold,inner_validation_fold,train_events,test_events,alpha,train_energy_scale,events_total,events_finite,finite_fraction,median,r68,r90,tail_beyond_2r68,outside_20pct,low_tail_20pct,high_tail_20pct
file_mod5,A0_raw,0,1,3642,858,0.55,1.0119761258684372,858,858,1.0,1.0112031838221296,0.07240140552939545,0.1369422144901395,0.09207459207459208,0.026806526806526808,0.0,0.026806526806526808
file_mod5,A0_raw,1,2,3589,911,0.55,1.0164564570992272,911,911,1.0,1.0109783037766746,0.08061097974676945,0.15658763942850085,0.08562019758507135,0.04061470911086718,0.0010976948408342481,0.03951701427003293
file_mod5,A0_raw,2,3,3597,903,0.55,1.0200426443815633,903,903,1.0,1.0038818778274015,0.07783126271582996,0.14100032877019708,0.07973421926910298,0.03986710963455149,0.004429678848283499,0.035437430786267994
file_mod5,A0_raw,3,4,3609,891,0.55,1.0243975977642394,891,891,1.0,0.997369770019578,0.08195870593297178,0.14812928341101989,0.06734006734006734,0.037037037037037035,0.001122334455667789,0.03591470258136925
file_mod5,A0_raw,4,0,3563,937,0.55,1.0197095266502698,937,937,1.0,1.0006902708356011,0.07766996658720693,0.15236879973258521,0.08431163287086446,0.0384204909284952,0.0010672358591248667,0.03735325506937033
file_mod5,A1_s2_lifetime,0,1,3642,858,0.4,1.0127011750289858,858,858,1.0,1.0088479868119529,0.08762265419637827,0.1556777548078152,0.06993006993006994,0.04195804195804196,0.019813519813519812,0.022144522144522144
file_mod5,A1_s2_lifetime,1,2,3589,911,0.4,1.0101878439167395,911,911,1.0,1.00173900402478,0.09476529649447335,0.16644574132758477,0.059275521405049394,0.050493962678375415,0.021953896816684963,0.02854006586169045
file_mod5,A1_s2_lifetime,2,3,3597,903,0.45000000000000007,1.0084414354430242,903,903,1.0,1.002280863212942,0.09272734405755295,0.16868324378921679,0.07198228128460686,0.05426356589147287,0.017718715393133997,0.036544850498338874
file_mod5,A1_s2_lifetime,3,4,3609,891,0.30000000000000004,1.0186074280491133,891,891,1.0,0.9901345379596568,0.09810924731052156,0.1753584791218169,0.06509539842873176,0.06172839506172839,0.04713804713804714,0.014590347923681257
file_mod5,A1_s2_lifetime,4,0,3563,937,0.35,1.0198935557835558,937,937,1.0,0.9896996005277499,0.09399281878412824,0.1719574393614524,0.06510138740661686,0.05869797225186766,0.029882604055496264,0.0288153681963714
file_mod5,A2_s1_dt_r2,0,1,3642,858,0.7000000000000001,1.0021663024139142,858,858,1.0,1.0099968140715951,0.08632410637624555,0.16101514174733317,0.07925407925407925,0.055944055944055944,0.004662004662004662,0.05128205128205128
file_mod5,A2_s1_dt_r2,1,2,3589,911,0.7000000000000001,1.0065083586901054,911,911,1.0,1.0196125487531884,0.09786082964054771,0.17996548389471234,0.06805708013172337,0.06586169045005488,0.0021953896816684962,0.06366630076838639
file_mod5,A2_s1_dt_r2,2,3,3597,903,0.8,1.008120977036166,903,903,1.0,1.0077338573014292,0.09545845075943232,0.1832522941295502,0.08305647840531562,0.0753045404208195,0.0022148394241417496,0.07308970099667775
file_mod5,A2_s1_dt_r2,3,4,3609,891,0.7000000000000001,1.0117948438797164,891,891,1.0,1.001127808721886,0.08625131282623699,0.16670080478182336,0.08080808080808081,0.06172839506172839,0.0,0.06172839506172839
file_mod5,A2_s1_dt_r2,4,0,3563,937,0.7000000000000001,1.0080952047204115,937,937,1.0,1.0039787466516785,0.08981288699513751,0.17397003086999285,0.08858057630736393,0.06830309498399147,0.0021344717182497333,0.06616862326574173
file_mod5,A3_s2_lifetime_r2,0,1,3642,858,0.2,1.008913686947819,858,858,1.0,0.996094121867505,0.08144628963952022,0.14723107902386895,0.07692307692307693,0.04079254079254079,0.03613053613053613,0.004662004662004662
file_mod5,A3_s2_lifetime_r2,1,2,3589,911,0.2,1.007514435938786,911,911,1.0,0.9944977337454601,0.08523131870989015,0.1560916927644979,0.08232711306256861,0.04061470911086718,0.03512623490669594,0.005488474204171241
file_mod5,A3_s2_lifetime_r2,2,3,3597,903,0.2,1.0071320523474283,903,903,1.0,0.9902585903028959,0.08397671470197177,0.15623849033519238,0.0753045404208195,0.044296788482835,0.03875968992248062,0.005537098560354375
file_mod5,A3_s2_lifetime_r2,3,4,3609,891,0.25,1.0083891360355524,891,891,1.0,0.9923507883525694,0.08593260455762647,0.15777682556413708,0.08080808080808081,0.04938271604938271,0.04264870931537598,0.006734006734006734
