scheme,candidate,label,correction_only_retention,mean_alpha,std_alpha,events_total,events_finite,finite_fraction,median,r68,r90,tail_beyond_2r68,outside_20pct,low_tail_20pct,high_tail_20pct,dt_us_response_ptp,dt_us_response_std,r2_response_ptp,r2_response_std,fileNumber_response_ptp,fileNumber_response_std,raw_r68,raw_r90,raw_outside_20pct,delta_r68_vs_raw,ratio_r68_vs_raw,delta_r90_vs_raw,delta_outside_20pct_vs_raw
contiguous_file_block,A5_both_file_linear,A4 + separate linear file drift,1.0,0.43000000000000005,0.02738612787525833,4500,4500,1.0,1.0008382829663196,0.06773317823540587,0.13252351450759087,0.0951111111111111,0.02266666666666667,0.010888888888888889,0.011777777777777778,0.030535815846555292,0.01178567116466753,0.055261450986663685,0.01980315599618739,0.010503331192402099,0.00422775218079291,0.07893473063346546,0.14782669661689535,0.03755555555555556,-0.011201552398059589,0.8580909530169406,-0.01530318210930448,-0.014888888888888889
contiguous_file_block,A4_both,"S1(dt,r2) + S2B(lifetime,r2)",1.0,0.43000000000000005,0.02738612787525833,4500,4500,1.0,0.9992951432771817,0.06778777468733121,0.13277913338627867,0.09555555555555556,0.023333333333333334,0.011333333333333334,0.012,0.029422996999817763,0.011533327391613647,0.05355170114080343,0.019165970259990818,0.006220968062027099,0.0023971425028548664,0.07893473063346546,0.14782669661689535,0.03755555555555556,-0.01114695594613424,0.8587826187955807,-0.015047563230616678,-0.014222222222222223
contiguous_file_block,A0_raw,raw S1 + raw S2B,1.0,0.54,0.022360679774997918,4500,4500,1.0,1.0035181950532528,0.07893473063346546,0.14782669661689535,0.07933333333333334,0.03755555555555556,0.0022222222222222222,0.035333333333333335,0.03782626416699886,0.01648418053849639,0.10401947724532079,0.04116273975397422,0.007094374507947587,0.002948326569687125,0.07893473063346546,0.14782669661689535,0.03755555555555556,0.0,1.0,0.0,0.0
contiguous_file_block,A3_s2_lifetime_r2,"raw S1 + S2B(lifetime,r2)",1.0,0.22999999999999998,0.0273861278752583,4500,4500,1.0,0.9930813761373787,0.08522377109681939,0.15616002605215162,0.07711111111111112,0.042222222222222223,0.035111111111111114,0.0071111111111111115,0.11393025902723564,0.04348644477604336,0.03013033407833643,0.012343172535568782,0.012427074375593539,0.004469039821707061,0.07893473063346546,0.14782669661689535,0.03755555555555556,0.006289040463353934,1.0796739332975898,0.008333329435256276,0.004666666666666666
contiguous_file_block,A2_s1_dt_r2,"S1(dt,r2) + raw S2B",1.0,0.74,0.02236067977499787,4500,4500,1.0,1.0066349991511805,0.09085335066574646,0.17505823106762913,0.08133333333333333,0.06533333333333333,0.0017777777777777779,0.06355555555555556,0.09457542654461681,0.03741355737328175,0.10792119086821317,0.043317237665837366,0.014350606577435587,0.005852607398077678,0.07893473063346546,0.14782669661689535,0.03755555555555556,0.011918620032281002,1.1509933578873575,0.027231534450733785,0.02777777777777777
contiguous_file_block,A1_s2_lifetime,raw S1 + S2B exponential lifetime,1.0,0.35,0.04999999999999999,4500,4500,1.0,0.9935423680239177,0.09383180816046272,0.16851963953768628,0.068,0.05266666666666667,0.029555555555555557,0.02311111111111111,0.09281740379978387,0.03746055224085323,0.10235499683384885,0.04135231375399601,0.0247549650694171,0.010127367299350674,0.07893473063346546,0.14782669661689535,0.03755555555555556,0.01489707752699726,1.1887265264281708,0.020692942920790935,0.01511111111111111
file_mod5,A4_both,"S1(dt,r2) + S2B(lifetime,r2)",1.0,0.4600000000000001,0.08215838362577493,4500,4500,1.0,0.9996453138932735,0.06772935653400619,0.13262094595860097,0.09577777777777778,0.025555555555555557,0.008666666666666666,0.016888888888888887,0.030472198432054176,0.011761742807735905,0.050220095019927524,0.018047975293586517,0.000897088309830818,0.00036042207546396694,0.07774395968766817,0.14739514360550748,0.03911111111111111,-0.010014603153661983,0.8711848072326768,-0.014774197646906517,-0.013555555555555553
file_mod5,A5_both_file_linear,A4 + separate linear file drift,1.0,0.4600000000000001,0.07416198487095664,4500,4500,1.0,0.9996934256299403,0.0682439587711981,0.13369422101866257,0.09488888888888888,0.026444444444444444,0.009777777777777778,0.016666666666666666,0.027944403531061535,0.01083126769897679,0.04891928102661891,0.017577251984349472,0.004394960982749274,0.001990572980292949,0.07774395968766817,0.14739514360550748,0.03911111111111111,-0.009500000916470075,0.877803999762351,-0.01370092258684491,-0.012666666666666666
file_mod5,A0_raw,raw S1 + raw S2B,1.0,0.55,0.0,4500,4500,1.0,1.004071014271088,0.07774395968766817,0.14739514360550748,0.08333333333333333,0.03911111111111111,0.002,0.03711111111111111,0.044573450944492055,0.0185997356541228,0.10051836429409167,0.03925558535799257,0.0064560883503015365,0.0024649418016041568,0.07774395968766817,0.14739514360550748,0.03911111111111111,0.0,1.0,0.0,0.0
file_mod5,A3_s2_lifetime_r2,"raw S1 + S2B(lifetime,r2)",1.0,0.22000000000000003,0.0273861278752583,4500,4500,1.0,0.9933483614917478,0.08531621655885019,0.1574420769895477,0.07622222222222222,0.042222222222222223,0.036444444444444446,0.0057777777777777775,0.1132002360837282,0.043235148134192186,0.032836267554118614,0.013669730576361288,0.012956533337123322,0.004718268876532651,0.07774395968766817,0.14739514360550748,0.03911111111111111,0.007572256871182015,1.0973999382280388,0.010046933384040224,0.003111111111111113
