name,feature_set,feature_count,alpha,cap,calibration_base_r68,calibration_oof_r68,calibration_oof_r90,relative_r68_improvement,calibration_base_sigma,calibration_oof_sigma,relative_sigma_improvement,calibration_protocol_successes,calibration_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_median_scale_shift,background_ratio_q01,background_ratio_q99,time_ratio_span,safe
drift_only_a1000_c25,drift_only,1,1000.0,0.0025,0.06774135758272384,0.06773766875316366,0.13113988218470482,5.44546151983738e-05,0.04178090146749322,0.041778642134631894,5.407573273841226e-05,12,0.15699797310913066,0.2398271516024487,0.016307423221359123,0.7597921703791347,0.0,0.0010307350556187616,0.9999982808276758,1.0742296918767507,0.0,0.9978186792560464,1.0022073086379801,0.0,True
geometry_ratio_a100_c25,geometry_ratio,11,100.0,0.0025,0.06774135758272384,0.06774135758272384,0.13151894356587027,0.0,0.04178090146749322,0.04171746469227364,0.0015183199258862468,12,0.15705647577505977,0.007911929626009569,0.404599002006276,0.9872112763002212,0.0,0.002292284916987489,0.9999999178252938,1.0,0.0,1.0,1.0,0.0,False
geometry_ratio_a10_c25,geometry_ratio,11,10.0,0.0025,0.06774135758272384,0.06777847304930246,0.13119378944751672,-0.0005478996569161509,0.04178090146749322,0.041719730744102165,0.0014640833788290841,12,0.15699326612316,0.00869386285302742,0.404599002006276,0.9895056330058131,0.0,0.001866773962462034,0.9999999004342132,1.0,0.0,1.0,1.0,0.0,False
geometry_ratio_a10_c50,geometry_ratio,11,10.0,0.005,0.06774135758272384,0.06786378234947452,0.13119378944751672,-0.0018072381646792035,0.04178090146749322,0.041750847173524466,0.0007193309122862646,12,0.15701866656250796,0.016965893307268894,0.404599002006276,0.9791244405576418,0.0,0.0031282632350786927,0.9999992618852355,1.0,0.0,1.0,1.0,0.0,False
drift_only_a10_c25,drift_only,1,10.0,0.0025,0.06774135758272384,0.06771103832976984,0.13120812937883666,0.0004475737427757087,0.04178090146749322,0.04180761852105526,-0.0006394561300413493,12,0.15731363536283038,0.16080045269818408,0.016307423221359123,0.8389320438294151,0.0,0.0008776089144300374,0.999998823110458,1.1053864168618266,0.0,0.9978522851415237,1.0021717954886529,0.0,False
geometry_ratio_a100_c50,geometry_ratio,11,100.0,0.005,0.06774135758272384,0.06787393142639146,0.13162726602758093,-0.001957059149659379,0.04178090146749322,0.04184614716928297,-0.0015616154630007095,12,0.15700345423378614,0.016461752147744226,0.404599002006276,0.9746283245022892,0.0,0.003700246198481128,0.999999314728855,1.0172413793103448,0.0,1.0,1.0,0.0,False
geometry_a1000_c25,geometry,7,1000.0,0.0025,0.06774135758272384,0.0676849183839802,0.13147659255016728,0.000833157184290445,0.04178090146749322,0.04185130613262374,-0.001685092055404791,12,0.15717160047879408,0.14547044601059725,0.0638715983332476,0.850846236946345,0.0,0.0007632009626156621,0.9999988242710096,0.9258658008658008,0.0,0.9978736089126277,1.0021719768636697,0.0,False
geometry_ratio_a10_c75,geometry_ratio,11,10.0,0.0075,0.06774135758272384,0.0678694185918548,0.13109716258436804,-0.0018904405477049302,0.04178090146749322,0.04185782733764669,-0.0018411730587795105,12,0.15704024415171192,0.025340809712433767,0.404599002006276,0.9687638252996553,0.0,0.005476097463183608,0.9999974999691581,1.0172413793103448,0.0,0.9987778085797812,1.0033011003499066,0.0,False
geometry_a100_c25,geometry,7,100.0,0.0025,0.06774135758272384,0.06777095913550495,0.1312410893391965,-0.0004369790307929833,0.04178090146749322,0.04186152203684755,-0.0019296033958735581,12,0.15737115687936987,0.09951129173311385,0.0638715983332476,0.898214928751479,0.0,0.0007500462641375019,0.999999186038629,0.9742703533026115,0.0,0.9979380663335311,1.0020968413382707,0.0,False
geometry_a10_c25,geometry,7,10.0,0.0025,0.06774135758272384,0.0677280932273808,0.13139297186152932,0.00019580882073177985,0.04178090146749322,0.041872784056825874,-0.002199152869024168,12,0.1572707626031442,0.09417151088018931,0.0638715983332476,0.9038530788620814,0.0,0.0005607124814474825,0.999999236160505,0.9833333333333333,0.0,0.9979476745173786,1.0020936134552951,0.0,False
