base,config,repeat,sigma_over_mu,fit_p,r68,r90
current_k100,conservative,0,0.039475199877927046,9.140777281124851e-09,0.044300417560450375,0.0898799324137667
current_k100,conservative,1,0.03942833373214935,5.17837542482634e-08,0.04389675025804452,0.08984587927906688
current_k100,conservative,2,0.039965867525171415,3.2259236607033344e-09,0.044373479410328376,0.08966947548679975
current_k100,conservative,3,0.03998726690919814,1.0279163704572915e-11,0.044496612376476154,0.0887650229980804
current_k100,conservative,4,0.03934287208958187,9.239744861744165e-13,0.043854546784785224,0.0899526261686909
current_k100,conservative,5,0.03981925572314442,1.7230570825472883e-12,0.04417012172549495,0.09060652634474917
current_k100,balanced,0,0.03780503804799378,1.3096232074802396e-07,0.0423519582463308,0.08872698177918965
current_k100,balanced,1,0.037757891458885535,4.9608481191061744e-14,0.0422117748325266,0.08802031256182286
current_k100,balanced,2,0.03771269681735159,2.1307499338009007e-11,0.04283703311736097,0.08640356915280797
current_k100,balanced,3,0.03819217961948612,1.0816534982124335e-10,0.04210948561794406,0.08851306656548143
current_k100,balanced,4,0.038207681456584305,3.994840093735451e-14,0.042625918360380544,0.08758795774734274
current_k100,balanced,5,0.03830284388751688,9.305833910139701e-14,0.0428010174187198,0.08718330337432915
current_k100,flexible,0,0.03742494282454098,1.4127691313998121e-05,0.04154413062808376,0.08815403288068081
current_k100,flexible,1,0.037076041466649376,1.563320098104266e-11,0.041242861163540805,0.08714365607456474
current_k100,flexible,2,0.03724512585977984,2.1539048009908537e-09,0.041436953943394146,0.08588514181379768
current_k100,flexible,3,0.03746627963613125,1.0665645088522441e-11,0.041865822129378207,0.08724113358814387
current_k100,flexible,4,0.037384267379047736,1.669390626675082e-10,0.041535734039365904,0.08717405273967055
current_k100,flexible,5,0.03754507103576737,3.2753895110704853e-16,0.0420917421414021,0.08716382610071874
candidate_k104,conservative,0,0.0395430181075769,1.3139407112107666e-09,0.04482236105687773,0.09106651329305421
candidate_k104,conservative,1,0.03969653045512194,1.0107055248485954e-10,0.044216449728137014,0.08972547349762602
candidate_k104,conservative,2,0.04014608484381354,6.212350122091625e-11,0.044823680489883826,0.09068017356670409
candidate_k104,conservative,3,0.04026214905001896,9.761248439027487e-09,0.044799787324556084,0.09039921023650964
candidate_k104,conservative,4,0.039376607097284654,2.0056878129316746e-14,0.04433568165002729,0.09053332901209782
candidate_k104,conservative,5,0.040098316505085246,7.118761665781918e-11,0.0446257736689307,0.09170860465193462
candidate_k104,balanced,0,0.03868433057399389,5.464898185469468e-10,0.04270260491354407,0.08956265627312877
candidate_k104,balanced,1,0.03872124383019946,4.5651221978310965e-10,0.04274673270242405,0.08900990613126544
candidate_k104,balanced,2,0.03823288992502736,1.8228422878831221e-13,0.04326751018744781,0.08776433366640408
candidate_k104,balanced,3,0.03853558969498182,4.075348857250704e-06,0.04269220560261098,0.08906452366069016
candidate_k104,balanced,4,0.038526806272782606,7.067843341142456e-08,0.04309418270193037,0.08859570996578467
candidate_k104,balanced,5,0.038885427226444065,2.5982703068190847e-07,0.0433037167371403,0.08805623085143283
candidate_k104,flexible,0,0.037735032138531376,2.161328453799727e-10,0.04208054922058614,0.08949538797265215
candidate_k104,flexible,1,0.03779446787564243,1.7315958169546798e-12,0.04162463709868924,0.0883759255421747
candidate_k104,flexible,2,0.037693210852383016,2.4480373272386256e-07,0.04213865667683878,0.08772170879604152
candidate_k104,flexible,3,0.037380553700681524,1.1576320781320537e-12,0.04251776591986918,0.08886535960063528
candidate_k104,flexible,4,0.03763703029791151,9.581747300658753e-09,0.04216888863915416,0.08792318547259254
candidate_k104,flexible,5,0.038352883775857154,2.345137248566484e-14,0.042522312155391914,0.08878887174710609
