outer_block,file_low,file_high_exclusive,events,selected_config,baseline_sigma_median,candidate_sigma_median,relative_sigma_improvement,baseline_r68,candidate_r68,baseline_r90,candidate_r90,candidate_center_bias_max,candidate_fit_p_median,candidate_protocol_successes,touch_fraction,finite_positive
0,0,200,869,spline_ridge_a100_c100,0.04561641529343333,0.02616371915055547,0.42644070161466974,0.0734213955748354,0.029876814294217655,0.13147495976953194,0.06254070462378292,0.001815224730226328,0.48765064651170853,12,0.09896432681242807,True
1,200,400,953,spline_ridge_a100_c100,0.04035564677431023,0.022515741727964736,0.44206713241682194,0.06775860452040021,0.026932804458416705,0.13557234611751343,0.06089805322351599,0.001021782343674671,3.521299127728779e-05,12,0.09233997901364113,True
2,400,600,906,spline_ridge_a100_c100,0.04491812998434905,0.02608711280778664,0.41922976720366034,0.0686428476382292,0.029267999752147455,0.1283259162502779,0.0579421887958762,0.0019879819165926627,0.011712265820103233,12,0.08609271523178808,True
3,600,800,874,spline_ridge_a100_c100,0.040604706957527374,0.023218460960752564,0.4281830186574396,0.06519665784602396,0.026667390994185372,0.12699955446494704,0.05998227298918273,0.00020761935575142054,0.002364031605075901,12,0.07894736842105263,True
4,800,1000,897,spline_ridge_a100_c100,0.041178762766201624,0.023477044261535428,0.42987494804470594,0.06545112296285407,0.026042912655382,0.12942405780401064,0.05803872507635033,0.0015864422636177045,0.015202240527489957,12,0.08361204013377926,True
