model_id,feature_set,features,feature_count,alpha,cap,dev_base_sigma,dev_new_sigma,dev_sigma_gain,dev_base_r68,dev_new_r68,dev_r68_gain,dev_base_r90,dev_new_r90,dev_r90_gain,dev_protocol_successes,dev_center_bias_max,hold_base_sigma,hold_new_sigma,hold_sigma_gain,hold_base_r68,hold_new_r68,hold_r68_gain,hold_base_r90,hold_new_r90,hold_r90_gain,hold_protocol_successes,hold_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_median_scale_shift,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
A05_plus_qS2hitStdevTo1_max_a300_c75,A05_plus_qS2hitStdevTo1_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2hitStdevTo1_max,5,300.0,0.0075,0.04237804561569755,0.042081241742788184,0.007003717811833843,0.06841353944679428,0.06842859794858124,-0.00022010996520172021,0.13139431589248823,0.13078279214490465,0.004654111126724536,12,0.1573253478223009,0.04199252184928828,0.04228901720273116,-0.007060670338090436,0.06542480619034491,0.06443404797750157,0.015143464238332682,0.13005254847924436,0.13110985396575683,-0.008129832893518651,12,0.15880500644067097,0.3342970317403159,0.02851998559596687,0.6578116158238593,0.0,0.0048711495800532936,0.9999775867368633,1.012735326688815,1.012735326688815,0.0,0.00039407717611106285,0.016136432224681363,10,16,True
A09_plus_nPMTS2_max_a3000_c75,A09_plus_nPMTS2_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|nPMTS2_max,5,3000.0,0.0075,0.04237804561569755,0.04217698896181042,0.004744358805745752,0.06841353944679428,0.06821359234769626,0.002922624683868502,0.13139431589248823,0.13146127547186814,-0.0005096078846720253,12,0.1565050195539851,0.04199252184928828,0.04320984069671362,-0.02898894359796511,0.06542480619034491,0.06492795574080208,0.007594221190312833,0.13005254847924436,0.1298984800967112,0.0011846625409093203,12,0.1571531816964673,0.70217603786203,0.0054220896136632545,0.2926282216163383,0.0,0.00468912869959584,0.9999681836555993,1.019140989729225,0.9516129032258064,0.0,0.00023573593154946337,0.01503915666578226,10,16,True
B04_S10_a3000_c75,B04_S10,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,3000.0,0.0075,0.04237804561569755,0.04217813883314053,0.004717225149311055,0.06841353944679428,0.06822321348864649,0.0027819925658985056,0.13139431589248823,0.13142556568918456,-0.00023783218082207291,12,0.15654691481424254,0.04199252184928828,0.042701321330360656,-0.016879183479769688,0.06542480619034491,0.06493819537496837,0.007437711224712151,0.13005254847924436,0.12988238727290746,0.0013084034748004347,12,0.15706475357079708,0.7266526055867072,0.004928237049230928,0.26839858017387724,0.0,0.004523212220773851,0.9999678249432825,1.0759878419452888,1.0081232492997199,0.0,0.00021718604590748036,0.012592898431048716,10,16,True
A02_plus_xS2T_max_a3000_c75,A02_plus_xS2T_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max,5,3000.0,0.0075,0.04237804561569755,0.042184311798400126,0.004571560922235207,0.06841353944679428,0.06815536493509917,0.0037737341728369955,0.13139431589248823,0.13147628025995464,-0.0006238045147515248,12,0.15649283449612394,0.04199252184928828,0.043104663296036363,-0.0264842738128368,0.06542480619034491,0.06495207559627163,0.007225555895388314,0.13005254847924436,0.12992444089454402,0.0009850447853452238,12,0.15705196391048426,0.7207057976233345,0.004928237049230928,0.27438654251761924,0.0,0.004522852262302146,0.9999679817039527,1.03015873015873,1.03015873015873,0.0,0.00022063225692670052,0.009702725020644065,10,16,True
A02_plus_xS2T_max_a3000_c50,A02_plus_xS2T_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max,5,3000.0,0.005,0.04237804561569755,0.04218556545420285,0.004541978250724332,0.06841353944679428,0.06831203996480341,0.001483616880687877,0.13139431589248823,0.13146478197536368,-0.0005362947582383537,12,0.15663295955217638,0.04199252184928828,0.04221372690146799,-0.005267724881435232,0.06542480619034491,0.06495871687733902,0.0071240457579631045,0.13005254847924436,0.13126848288819282,-0.009349562335893236,12,0.15533463829371763,0.5640619373424559,0.004928237049230928,0.43243994032614846,0.0,0.002772940662027171,0.9999865277212401,0.9885361552028219,0.9161490683229814,0.0,0.00014422436441297037,0.012902559867877805,10,16,True
P07_plus_pair_a300_c75,P07_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|qS2hitStdevTo1_max,6,300.0,0.0075,0.04237804561569755,0.04218640332224228,0.004522206974648335,0.06841353944679428,0.06836989339963291,0.0006379738208883712,0.13139431589248823,0.13071838984112982,0.005144256406886538,12,0.15736903936759128,0.04199252184928828,0.04198880219041498,8.85790781189888e-05,0.06542480619034491,0.06443589173315856,0.015115282944961783,0.13005254847924436,0.13109150305899342,-0.007988729109102088,12,0.1571735258279674,0.3324347960286023,0.02851998559596687,0.6595915427748341,0.0,0.0047140752257449165,0.9999777538854658,1.046685340802988,0.9849480021893816,0.0,0.0004068977231832527,0.015723315934821513,10,16,True
A08_plus_tDiffBottomTopS2_max_a3000_c75,A08_plus_tDiffBottomTopS2_max,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|tDiffBottomTopS2_max,5,3000.0,0.0075,0.04237804561569755,0.04220993082798827,0.0039670255026346135,0.06841353944679428,0.06827451733139535,0.0020320848259436364,0.13139431589248823,0.13148902776280524,-0.000720821670813443,12,0.15658375277730352,0.04199252184928828,0.04334269696382771,-0.032152751372857,0.06542480619034491,0.06517939077952214,0.0037511064245074888,0.13005254847924436,0.12996178980556297,0.0006978615547534872,12,0.1568825574971524,0.7218375430834919,0.005998250938834302,0.2727918102783065,0.0,0.004439899979442354,0.9999675003726913,1.0656814449917897,1.0656814449917897,0.0,0.00018797288241012566,0.012873678588239623,10,16,True
P05_plus_pair_a3000_c50,P05_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|yS2B_max,6,3000.0,0.005,0.04237804561569755,0.042232560846475566,0.0034330221488103607,0.06841353944679428,0.06831392352444392,0.0014560849088627315,0.13139431589248823,0.1316145224179331,-0.0016759212447594596,12,0.15667272504280993,0.04199252184928828,0.04257742107383713,-0.01392865202637883,0.06542480619034491,0.06472386356199943,0.010713713485160037,0.13005254847924436,0.13103158846243326,-0.0075280338189231966,12,0.1552237825220909,0.5545655640722259,0.005699881681156438,0.4416790987190699,0.0,0.0030600164609292085,0.9999865925572005,1.0911989795918369,1.0911989795918369,0.0,0.00018756998296498573,0.01393476465730803,10,16,True
P05_plus_pair_a3000_c75,P05_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|xS2T_max|yS2B_max,6,3000.0,0.0075,0.04237804561569755,0.04228767789993292,0.002132418200313513,0.06841353944679428,0.06839542099967696,0.0002648371545138639,0.13139431589248823,0.1315878751488884,-0.0014731174258597601,12,0.15644728598278823,0.04199252184928828,0.04315375748282159,-0.027653391184768505,0.06542480619034491,0.06506066442933324,0.005565805727452133,0.13005254847924436,0.12983217961922736,0.001694460143948473,12,0.1563317841071885,0.7109110550954267,0.005699881681156438,0.28385205000257213,0.0,0.0046119737645997135,0.9999678980631047,1.0184523809523809,0.9902419984387197,0.0,0.000276177704156666,0.0107349298100744,10,16,True
P04_plus_pair_a300_c75,P04_plus_pair,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max|qS2channelStdevTo1_max|qS2hitStdevTo1_max,6,300.0,0.0075,0.04237804561569755,0.042302443601061626,0.0017839901188817509,0.06841353944679428,0.06842838292915358,-0.00021696702844686833,0.13139431589248823,0.13003055173801065,0.010379171619520178,12,0.1569187236372298,0.04199252184928828,0.04303505327073073,-0.024826597106601733,0.06542480619034491,0.06492419084214705,0.007651766621079137,0.13005254847924436,0.13092128651709972,-0.00667990014816211,12,0.15891072760869585,0.2207109419208807,0.11567467462318021,0.7621688358454654,0.0,0.003643860453173656,0.9999827013728718,1.0535714285714286,1.0535714285714286,0.0,0.0006700807492705518,0.011147811725846418,10,16,True
