original_path,bytes,git_blob,archive_url
00_报告与说明/归档/历史完整报告/05_PandaX4T_独立能量重建完整技术报告.pdf,4291332,9d1c645cb8b7744b5b8f9fced44c4e9ced2ed527,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/00_%E6%8A%A5%E5%91%8A%E4%B8%8E%E8%AF%B4%E6%98%8E/%E5%BD%92%E6%A1%A3/%E5%8E%86%E5%8F%B2%E5%AE%8C%E6%95%B4%E6%8A%A5%E5%91%8A/05_PandaX4T_%E7%8B%AC%E7%AB%8B%E8%83%BD%E9%87%8F%E9%87%8D%E5%BB%BA%E5%AE%8C%E6%95%B4%E6%8A%80%E6%9C%AF%E6%8A%A5%E5%91%8A.pdf
00_报告与说明/归档/历史版本/2026-07-16_04_PandaX4T_独立能量重建完整报告.pdf,1326917,e53913681a54c4f03ce5769a203edb2ea196efb0,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/00_%E6%8A%A5%E5%91%8A%E4%B8%8E%E8%AF%B4%E6%98%8E/%E5%BD%92%E6%A1%A3/%E5%8E%86%E5%8F%B2%E7%89%88%E6%9C%AC/2026-07-16_04_PandaX4T_%E7%8B%AC%E7%AB%8B%E8%83%BD%E9%87%8F%E9%87%8D%E5%BB%BA%E5%AE%8C%E6%95%B4%E6%8A%A5%E5%91%8A.pdf
00_报告与说明/归档/阶段性材料/03_PandaX4T_阶段性工作汇报_第一部分.pdf,1702637,46d8269fc80a93c802e570e40c7ad5a60f0df23e,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/00_%E6%8A%A5%E5%91%8A%E4%B8%8E%E8%AF%B4%E6%98%8E/%E5%BD%92%E6%A1%A3/%E9%98%B6%E6%AE%B5%E6%80%A7%E6%9D%90%E6%96%99/03_PandaX4T_%E9%98%B6%E6%AE%B5%E6%80%A7%E5%B7%A5%E4%BD%9C%E6%B1%87%E6%8A%A5_%E7%AC%AC%E4%B8%80%E9%83%A8%E5%88%86.pdf
01_老师盲测交付/PandaX_candidate_v11_blindtest/MODEL_CARD.md,1100,6528c194c8aab0c60eaf4b8929fb01b92e95883f,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/MODEL_CARD.md
01_老师盲测交付/PandaX_candidate_v11_blindtest/README_老师使用说明.md,1967,855e7e97327af3ec0510e0922ff16e4dddbe382b,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/README_%E8%80%81%E5%B8%88%E4%BD%BF%E7%94%A8%E8%AF%B4%E6%98%8E.md
01_老师盲测交付/PandaX_candidate_v11_blindtest/SMOKE_TEST_RUN10972.json,1630,924e17224ac6d906b9340cd18fa1ba3d409e72ee,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/SMOKE_TEST_RUN10972.json
01_老师盲测交付/PandaX_candidate_v11_blindtest/apply_foundation_environment_v11.py,5053,1060ff844f1ad33d65e78be9e2683cfdad1d4c2e,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/apply_foundation_environment_v11.py
01_老师盲测交付/PandaX_candidate_v11_blindtest/environment.yml,175,569de2e09faa808a59508734f2c58934962748f5,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/environment.yml
01_老师盲测交付/PandaX_candidate_v11_blindtest/foundation_environment_v11.py,22273,cf2548aa31f8536c54f027de149282d14974d80a,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/foundation_environment_v11.py
01_老师盲测交付/PandaX_candidate_v11_blindtest/grouped_nested_physics_v9.py,32394,a1a0ca100180259ae4c65a3a7e55f3dfe52268ad,https://github.com/zihengfan07/PandaX4T-Energy-Reconstruction/blob/e98ca8445220d948650019bedcded83c6909d856/01_%E8%80%81%E5%B8%88%E7%9B%B2%E6%B5%8B%E4%BA%A4%E4%BB%98/PandaX_candidate_v11_blindtest/grouped_nested_physics_v9.py
