outer_fold,events,s1,s2,alpha,residual_group,base_sigma_over_mu,base_fit_p,corrected_sigma_over_mu,corrected_fit_p,base_r68,corrected_r68
0,900,qS1ub_C,qS2Bub_C,0.6,none,0.043013150480151294,0.0017480578067981414,0.043013150480151294,0.0017480578067981414,0.07283946634500854,0.07283946634500854
1,900,qS1ub_C,qS2Bub_C_stretch,0.44999999999999996,none,0.049001589721611484,0.04394713481228244,0.049001589721611484,0.04394713481228244,0.06402475819809504,0.06402475819809504
2,900,qS1ub_C,qS2Bub_C,0.44999999999999996,none,0.05119764110456329,0.009028363586161074,0.05119764110456329,0.009028363586161074,0.06889339293132186,0.06889339293132186
3,900,qS1_max,qS2Bub_C,0.35,none,0.055070381861401264,0.007396446594739891,0.055070381861401264,0.007396446594739891,0.0677590551350702,0.0677590551350702
4,899,qS1ub_C,qS2Bdesub_C,0.44999999999999996,none,0.05103959890108368,0.6796268169633944,0.05103959890108368,0.6796268169633944,0.06368775995853113,0.06368775995853113
