method,events,sigma_over_mu,fit_p_value,fit_success,r68
current_energy,4499,0.038046339019149666,4.672608805829301e-85,True,0.06784395577990691
current_energy_cor,4499,0.03797701837174595,1.6300097640833564e-93,True,0.06821389717074168
nested_oof_best_channels,4499,0.051867921736907,1.0636534275657634e-07,True,0.06626293195955084
nested_oof_residual_corrected,4499,0.051867921736907,1.0636534275657634e-07,True,0.06626293195955084
