outer_fold,s1,s2,alpha,inner_r68,inner_sigma_over_mu,inner_fit_p,inner_fit_success
0,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.5499999999999999,0.06450619035203219,0.04852420556212853,5.65104141509601e-18,True
0,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.5499999999999999,0.06450633302959463,0.048522404645690666,3.2875921160032516e-18,True
0,qS1ub_C,qS2Bub_C,0.5499999999999999,0.06460543028614653,0.04812847268244328,2.2578900420400424e-12,True
0,qS1ub_C,qS2Bdesub_C,0.5499999999999999,0.06460663239471888,0.04807358799958418,1.8837684163607367e-12,True
0,qS1ub_C,qS2Bdesub_C,0.49999999999999994,0.06467022187874899,0.050761969025302646,1.6150923285348023e-09,True
0,qS1ub_C,qS2Bub_C,0.49999999999999994,0.06472535484495237,0.05076579401842798,1.254836698679492e-09,True
0,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.49999999999999994,0.06486581836242662,0.049704814748317096,3.169740291441489e-18,True
0,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.49999999999999994,0.06487270219976149,0.04965731506092366,9.869632980433074e-18,True
0,qS1ub_C,qS2Bub_C_stretch,0.5499999999999999,0.06500856604847471,0.048318866486402066,8.31891379270086e-12,True
0,qS1ub_C,qS2Bdesub_C_stretch,0.5499999999999999,0.06500879012052911,0.04827026653130434,4.356510672711824e-12,True
0,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.065068681577408,0.04924782563276902,1.2069413302689703e-16,True
0,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.065068681577408,0.04919971147134067,6.452155435228693e-17,True
0,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.065068681577408,0.04924782563276902,1.2069413302689703e-16,True
0,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.065068681577408,0.04919971147134067,6.452155435228693e-17,True
0,qS1ub_C,qS2Bdesub_C_stretch,0.49999999999999994,0.06517518714517677,0.05041275594194057,1.1223065787970226e-06,True
0,qS1ub_C,qS2Bub_C_stretch,0.49999999999999994,0.06518315770806514,0.050522343491299984,1.3981750971865317e-06,True
0,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06534152135159194,0.049306272915812965,1.141345934401587e-16,True
0,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06534152135159194,0.049306272915812965,1.141345934401587e-16,True
0,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.49999999999999994,0.06534638015135909,0.04931177163523482,3.9969569238839264e-17,True
0,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.49999999999999994,0.06534638015135909,0.04931177163523482,3.9969569238839264e-17,True
0,qS1ub_C,qS2Bub_C,0.44999999999999996,0.0654663538248515,0.05340796718571288,0.0008935039902774644,True
0,qS1ub_C,qS2Bdesub_C,0.44999999999999996,0.06546642083597864,0.05343209796543349,0.000825847985704962,True
0,qS1ub_C,qS2Bub_C_stretch,0.44999999999999996,0.06628770673470118,0.053103956321863426,0.002532579158954939,True
0,qS1ub_C,qS2Bdesub_C_stretch,0.44999999999999996,0.06628774002397725,0.05316415525976093,0.0038888795328690744,True
