outer_fold,group,feature_count,inner_r68,inner_sigma_over_mu,inner_fit_p,inner_fit_success
0,none,0,0.06676043188943809,0.041285730201807286,1.9900694602328034e-19,True
0,geometry,13,0.06251390040051538,0.03638045298351923,1.947094778248243e-34,True
0,geometry_shape,29,0.03207107786401464,0.0300044964322064,5.974059730435963e-35,True
0,geometry_shape_topology,45,0.029785192082845593,0.02818873334886078,2.8808357859023427e-29,True
1,none,0,0.06739700781723691,0.056147732013096724,0.11371999823026652,True
1,geometry,13,0.05121231170284413,0.03384355971733415,5.229197098860121e-62,True
1,geometry_shape,29,0.033794902397004466,0.03111214761304177,2.6784474364638595e-28,True
1,geometry_shape_topology,45,0.0313097777568494,0.027854881485774276,9.566961141120494e-37,True
2,none,0,0.06530075832201312,0.05328829351911635,0.030604494451945928,True
2,geometry,13,0.05060607517887369,0.029088902974909486,1.8494854694754835e-121,True
2,geometry_shape,29,0.032102013188290104,0.02886709056085133,3.0955677425895093e-27,True
2,geometry_shape_topology,45,0.0306879374589599,0.02788224845320968,1.2294499253178543e-34,True
3,none,0,0.06728838097032191,0.05454364767567711,0.001705100338248072,True
3,geometry,13,0.047983020907101596,0.03836956173373456,4.045465507753647e-28,True
3,geometry_shape,29,0.036918801225686096,0.034316444875178785,1.9997037392059935e-06,True
3,geometry_shape_topology,45,0.03468892689510342,0.03232953722740532,1.2749011380350911e-08,True
4,none,0,0.06618944371055123,0.0546977370723078,0.007976167464902515,True
4,geometry,13,0.05084458340401518,0.03399622984939555,4.1443828710665145e-66,True
4,geometry_shape,29,0.03320830817982705,0.02996588517119954,1.651494023307312e-18,True
4,geometry_shape_topology,45,0.030879805588862327,0.028403798070339614,2.6498359320718846e-22,True
