scheme,method,n,median,q05,q16,q84,q95,r68,r90,complexity,r68_percent,r90_percent
event_random5,dt_r2_then_xy,4500,0.9999172652789067,0.8892465112036376,0.9414362932348936,1.0589031649034466,1.1272041259173582,0.05873829553077472,0.11898865184978434,12,5.873829553077472,11.898865184978433
event_random5,nested_winner,4500,0.9999172652789067,0.8892465112036376,0.9414362932348936,1.0589031649034466,1.1272041259173582,0.05873829553077472,0.11898865184978434,-1,5.873829553077472,11.898865184978433
event_random5,r2_then_dt,4500,0.9999638092873706,0.895845836859901,0.9436937438392504,1.0678901120989652,1.1396208489420243,0.06210043158873119,0.12189191739641597,6,6.21004315887312,12.189191739641597
event_random5,dt_r2_joint,4500,0.9996485419940475,0.8999942645248321,0.9443346826248004,1.0700685429808492,1.1523987019784978,0.06288903303217018,0.12624658910129669,6,6.288903303217018,12.624658910129668
event_random5,r2_quad,4500,1.0000972034226034,0.8946422641030654,0.9431458711136265,1.070140013543477,1.1433802630609315,0.06349089968217203,0.12435691156150493,3,6.3490899682172035,12.435691156150492
event_random5,dt_then_r2,4500,1.0001260485997863,0.8867649289146479,0.9392607197682878,1.0665704323692535,1.135826656416245,0.06364683370621335,0.12451516878812063,6,6.364683370621335,12.451516878812063
event_random5,dt_then_xy,4500,0.9999673850092543,0.8906103556325761,0.9402401149774561,1.072346553219108,1.1493964112273016,0.06605537351622194,0.12939724808741168,9,6.6055373516221945,12.939724808741168
event_random5,xy_quad,4500,0.9999832014473318,0.8935574758037238,0.9418412405144503,1.075610036464761,1.1579344415470672,0.06688552155511192,0.1321907034841664,6,6.688552155511192,13.21907034841664
event_random5,dt_quad,4500,1.000276613975379,0.8911137638988584,0.9380490702165888,1.0893429166908974,1.178852469314226,0.07562600402753825,0.14382956743925734,3,7.562600402753825,14.382956743925735
event_random5,raw,4500,0.99995424479196,0.8845295798476279,0.9365590991844853,1.097058491236558,1.185785549648131,0.08025336803558669,0.15063487723039734,0,8.02533680355867,15.063487723039733
