scheme,replicate,raw_r68,winner_r68,delta_r68,ratio_r68,raw_r90,winner_r90,delta_r90,ratio_r90
event_random5,0,0.08135538490953341,0.06047181605925439,-0.02088356885027902,0.7433044060512848,0.15158595801702607,0.11929152771809345,-0.032294430298932614,0.786956320219942
event_random5,1,0.07849598028831077,0.05882649328025734,-0.019669487008053432,0.7494204552155581,0.1495194762218877,0.11683197122913437,-0.032687504992753316,0.7813829621483901
event_random5,2,0.08280863951449835,0.05674023094958758,-0.026068408564910772,0.6851969949301407,0.15062643654579969,0.11658709944455464,-0.03403933710124504,0.7740148550158724
event_random5,3,0.08186689484059011,0.058860679623903324,-0.023006215216686783,0.7189802390638595,0.15219685624859824,0.11963307585195958,-0.03256378039663867,0.78604170152208
event_random5,4,0.08032696447391947,0.05897136628990395,-0.02135559818401552,0.7341416008450158,0.15189442323924007,0.11765219668716928,-0.03424222655207079,0.7745656106272062
event_random5,5,0.08050026531972838,0.059273548246842715,-0.02122671707288567,0.7363149427076039,0.15267839148704135,0.11948173694454442,-0.03319665454249693,0.7825713631171277
event_random5,6,0.08000838132646758,0.056977243147969786,-0.023031138178497793,0.712140930779225,0.1514102818778293,0.11949769375159469,-0.0319125881262346,0.7892310368196501
event_random5,7,0.07850342022988153,0.05923817103619009,-0.019265249193691443,0.7545935051329353,0.15331716483932661,0.11913254098997388,-0.03418462384935274,0.7770332898786803
event_random5,8,0.08238534416100082,0.059974611997656024,-0.0224107321633448,0.7279767124654013,0.15291150778105142,0.11923285649314257,-0.03367865128790885,0.7797507082584515
event_random5,9,0.08069612847578506,0.05755557806105341,-0.023140550414731648,0.7132384062058744,0.1527619111378661,0.12004174759604994,-0.03272016354181617,0.7858094121885753
event_random5,10,0.07945625975223673,0.058990825431082514,-0.02046543432115422,0.7424314410850669,0.1481993629667422,0.11724848552658464,-0.03095087744015755,0.7911537754241
event_random5,11,0.08149834727383432,0.06032929872324857,-0.021169048550585746,0.7402518056046243,0.15495705684769415,0.11897003736948655,-0.035987019478207594,0.7677613384617978
event_random5,12,0.08222378809384011,0.060858857279460644,-0.021364930814379464,0.7401611953222569,0.15498605849921787,0.11842815866877766,-0.03655789983044021,0.7641213655960888
event_random5,13,0.07901225842179131,0.05739764543567528,-0.021614612986116034,0.7264397522884272,0.14943249984771653,0.1200638732079428,-0.02936862663977373,0.8034656003901248
event_random5,14,0.07749245877694019,0.05796823569913229,-0.019524223077807906,0.7480500246610083,0.1482591536669773,0.11723049821555347,-0.031028655451423845,0.7907133914906797
event_random5,15,0.07956210760747078,0.059598926505195424,-0.01996318110227535,0.749086824085077,0.14903221683394577,0.11750214198459456,-0.031530074849351206,0.788434504168434
event_random5,16,0.08019993020810365,0.05959407168004415,-0.020605858528059497,0.7430688720726915,0.14856644740777478,0.12040509528081729,-0.028161352126957487,0.81044608242087
event_random5,17,0.0817180903634505,0.059701621133727026,-0.022016469229723473,0.7305802285417743,0.15067625624322128,0.11914531595756578,-0.03153094028565551,0.7907371667453807
event_random5,18,0.07982795743280477,0.059705223683323205,-0.020122733749481564,0.7479237300237841,0.15230024230665634,0.11901432865189165,-0.03328591365476469,0.7814454320581872
event_random5,19,0.08033950753903875,0.0591024069745432,-0.02123710056449555,0.7356580689248565,0.1466584632357263,0.1192144901526227,-0.02744397308310359,0.8128715351463046
event_random5,20,0.0793147746939788,0.05699900198133173,-0.022315772712647064,0.7186429287765326,0.14627438872070353,0.11561489882688986,-0.030659489893813674,0.7903974156928119
event_random5,21,0.08032649882709322,0.05782595775858076,-0.022500541068512465,0.7198864459791033,0.1490325425926065,0.11639717661111633,-0.03263536598149018,0.7810185251237255
event_random5,22,0.08075923111396087,0.06044996846916739,-0.020309262644793477,0.7485208518623129,0.15204302418678678,0.11707563323740285,-0.034967390949383934,0.7700164730581388
