scheme,outer_fold,method,complexity,alpha,inner_r68,inner_r90,inner_n
event_random5,0,raw,0,0.05,0.1691848699636218,0.3140448226850256,3600
event_random5,0,raw,0,0.07670637023171953,0.1607837167302088,0.3015296106803443,3600
event_random5,0,raw,0,0.11767734468251262,0.15103535876122454,0.2846241163398179,3600
event_random5,0,raw,0,0.1805320393820497,0.13895684966686683,0.2597101957212837,3600
event_random5,0,raw,0,0.2769591490305376,0.1239858521036101,0.23054883377660854,3600
event_random5,0,raw,0,0.42489062049196813,0.10583645668983517,0.19553287406165495,3600
event_random5,0,raw,0,0.6518363448688389,0.0919525951995438,0.16389027709402296,3600
event_random5,0,raw,0,0.75,0.0881753837173209,0.15533604356471384,3600
event_random5,0,raw,0,1.0,0.08083756581785359,0.14819615494187385,3600
event_random5,0,raw,0,1.5,0.0789487490646689,0.14821120939735927,3600
event_random5,0,raw,0,1.5341274046343907,0.07942440691772194,0.14892853336708603,3600
event_random5,0,raw,0,2.3535468936502513,0.09143376249518038,0.166487736212483,3600
event_random5,0,raw,0,3.6106407876409943,0.11082452471367582,0.19087791650474312,3600
event_random5,0,raw,0,5.539182980610754,0.12870743730104442,0.21444268524447124,3600
event_random5,0,raw,0,8.49781240983936,0.1437914444297403,0.2373605767127739,3600
event_random5,0,raw,0,13.03672689737678,0.15346881916987992,0.2536727525743699,3600
event_random5,0,raw,0,20.0,0.1610379660020903,0.26516107062413996,3600
event_random5,0,dt_quad,3,0.05,0.11758080181624328,0.2175923614804718,3600
event_random5,0,dt_quad,3,0.07670637023171953,0.11447474849080759,0.2111460655519399,3600
event_random5,0,dt_quad,3,0.11767734468251262,0.10899429623110586,0.2016330877190509,3600
event_random5,0,dt_quad,3,0.1805320393820497,0.10340943682248988,0.19017302344657966,3600
event_random5,0,dt_quad,3,0.2769591490305376,0.09715936116900578,0.17828899383811783,3600
event_random5,0,dt_quad,3,0.42489062049196813,0.08907513783430705,0.16386656145983172,3600
event_random5,0,dt_quad,3,0.6518363448688389,0.08353624705935649,0.15166167617046972,3600
event_random5,0,dt_quad,3,0.75,0.08118379724938861,0.1487962022305631,3600
event_random5,0,dt_quad,3,1.0,0.07871817114152947,0.1427109203928219,3600
event_random5,0,dt_quad,3,1.5,0.07424693806837851,0.14258945722840766,3600
event_random5,0,dt_quad,3,1.5341274046343907,0.07447619534233821,0.14291434273918716,3600
event_random5,0,dt_quad,3,2.3535468936502513,0.07952363192416133,0.15080958890032398,3600
event_random5,0,dt_quad,3,3.6106407876409943,0.08672391986595188,0.16166165915145653,3600
event_random5,0,dt_quad,3,5.539182980610754,0.09469982383501109,0.17707018718222348,3600
event_random5,0,dt_quad,3,8.49781240983936,0.10192230504442094,0.18983816439098253,3600
event_random5,0,dt_quad,3,13.03672689737678,0.10728701986450118,0.19771584888106017,3600
event_random5,0,dt_quad,3,20.0,0.11110511994363519,0.20343002236952143,3600
event_random5,0,r2_quad,3,0.05,0.09679791177554657,0.18919088735743586,3600
event_random5,0,r2_quad,3,0.07670637023171953,0.09287316365252052,0.18241269316631878,3600
event_random5,0,r2_quad,3,0.11767734468251262,0.08886982540467403,0.1734468903396428,3600
event_random5,0,r2_quad,3,0.1805320393820497,0.08319274982623036,0.16245959608014895,3600
event_random5,0,r2_quad,3,0.2769591490305376,0.07631653131161019,0.14689343835804702,3600
event_random5,0,r2_quad,3,0.42489062049196813,0.0705810300337427,0.13248215939474417,3600
event_random5,0,r2_quad,3,0.6518363448688389,0.06495755893993799,0.12348668549961402,3600
event_random5,0,r2_quad,3,0.75,0.06342587171502422,0.1224198092459744,3600
event_random5,0,r2_quad,3,1.0,0.06354046106644494,0.12521558455488838,3600
event_random5,0,r2_quad,3,1.5,0.07252313693064176,0.13766780259971922,3600
