config,repeat,sigma_over_mu,fit_p,r68,r90
hgb_aggressive,0,0.019815508843376586,1.047297563657344e-178,0.0218753870089254,0.05208548032918173
hgb_aggressive,1,0.020027649207610205,3.272348747491114e-188,0.02200075158162929,0.052508881038936396
hgb_aggressive,2,0.020169470446492876,3.871470184133562e-166,0.022054641649250927,0.05184042074065928
hgb_aggressive,3,0.01969895402878002,2.8608075126836822e-183,0.021884157825757634,0.05256256368745808
hgb_aggressive,4,0.020310263232789904,1.5302261277441218e-186,0.022142906145748036,0.05273656418850924
extra_leaf20,0,0.03159057642401187,2.3674288568964875e-48,0.033053716402246185,0.0658291157461091
extra_leaf20,1,0.03189558770509478,3.848797859729463e-43,0.033239782864021,0.06570653905498061
extra_leaf20,2,0.031543307503369165,3.906514014628724e-48,0.03299424523996613,0.06583126627468049
extra_leaf20,3,0.03188688438732866,9.001055184018732e-43,0.03318843123492911,0.06540423245003052
extra_leaf20,4,0.03232970790077043,4.764512365236745e-44,0.032943819873211655,0.06602395988260458
extra_leaf35,0,0.03361708106664919,1.162348419734958e-35,0.03521936764086424,0.06877995273111141
extra_leaf35,1,0.03360743775061557,1.2093034481059403e-42,0.035479570310112604,0.06992454166052064
extra_leaf35,2,0.033466190047991326,4.6716409514232815e-43,0.03530235472395568,0.06953258980573306
extra_leaf35,3,0.033845876408691446,2.592189316164003e-43,0.03567803108356378,0.06911618453482384
extra_leaf35,4,0.03383358953933134,1.1829749920954922e-34,0.03536097140248288,0.06987028472451444
forest_leaf25,0,0.0265888464589749,1.980133449631639e-51,0.028587627423759907,0.05990920505232334
forest_leaf25,1,0.026876078098380145,1.6214573737118958e-45,0.028510171319952073,0.059386353918212884
forest_leaf25,2,0.027074860509419457,1.895017669095335e-42,0.028919562628404383,0.059156601206752174
forest_leaf25,3,0.027305725502451566,2.7639105621738148e-46,0.028833512850766293,0.060027275767637084
forest_leaf25,4,0.0272045714262027,2.6156682546685364e-47,0.028623379363054317,0.05884240433133976
two_stage_hgb_extra,0,0.01933396892631814,9.876319869883871e-183,0.021420966358585106,0.05021266205164316
two_stage_hgb_extra,1,0.019358634211360956,2.4495845406904493e-207,0.02136319902136021,0.050419913488645024
two_stage_hgb_extra,2,0.01944773197869449,8.016926124593844e-197,0.021372646343914833,0.05089007401308281
two_stage_hgb_extra,3,0.019262993392238945,4.606956743570926e-220,0.021391509507581195,0.050408791292639046
two_stage_hgb_extra,4,0.019532733515411453,5.2780275904049665e-183,0.021333684144304126,0.0503388556165518
