outer_block,file_low,file_high_exclusive,events,selected_config,baseline_sigma_median,candidate_sigma_median,relative_sigma_improvement,baseline_r68,candidate_r68,baseline_r90,candidate_r90,candidate_center_bias_max,candidate_fit_p_median,candidate_protocol_successes,near_cap_fraction,finite_positive
0,0,200,869,spline_ridge_a100_c100_soft,0.04561641529343333,0.027977515786700713,0.3866787732720376,0.0734213955748354,0.03336462670386046,0.13147495976953194,0.0691039072573114,0.0024212375425676225,0.11716234728641609,12,0.01726121979286536,True
1,200,400,953,spline_ridge_a100_c100_soft,0.04035564677431023,0.024100380066538266,0.4028003019919336,0.06775860452040021,0.030141941490290237,0.13557234611751343,0.06736508349307084,0.0017307303499991544,3.9473869428874766e-09,12,0.012591815320041973,True
2,400,600,906,spline_ridge_a100_c100_soft,0.04491812998434905,0.02801740799447105,0.37625613523463164,0.0686428476382292,0.031382349665273465,0.1283259162502779,0.06473882549586975,0.0021786553273150933,0.017450394561704705,12,0.016556291390728478,True
3,600,800,874,spline_ridge_a100_c100_soft,0.040604706957527374,0.025736675385273626,0.3661652228596489,0.06519665784602396,0.029220885792528718,0.12699955446494704,0.06464768883071297,0.001292992276365812,0.00031476312010212933,12,0.010297482837528604,True
4,800,1000,897,spline_ridge_a100_c100_soft,0.041178762766201624,0.026287047806030348,0.36163580350194446,0.06545112296285407,0.02999036520880421,0.12942405780401064,0.06282863815709017,0.001962859571174591,0.0698619467859796,12,0.0189520624303233,True
