outer_fold,events,s2,k,correction_group,leaves,current_sigma_over_mu,formula_sigma_over_mu,corrected_sigma_over_mu,current_r68,formula_r68,corrected_r68,current_r90,formula_r90,corrected_r90
0,900,qS2Bub_C,1.0,geometry_shape,5,0.04245110789996533,0.04245110792024216,0.035069545187944,0.07375643467549203,0.07375620170587405,0.04777698887592654,0.13467519990472923,0.13467513673915985,0.09998067677465296
1,900,qS2Bdesub_C,1.01,geometry_shape,3,0.03835604813946865,0.038977611900132235,0.036333822290784884,0.06556495140432625,0.06550079906738272,0.0471179956866695,0.12900959546507837,0.1293669131305255,0.10196660160288613
2,900,qS2Bub_C,1.0,geometry_shape,5,0.04419917573902272,0.044199175741831534,0.036035185658279026,0.0724944332242713,0.0724946586192458,0.047234519018085674,0.13484086674901136,0.13484061410409892,0.10294039979568964
3,900,qS2Bub_C,1.0,none,0,0.040885631709544235,0.04083917644771588,0.04083917644771588,0.06582513820036226,0.06582453795668651,0.06582453795668651,0.12243600739505198,0.12243581587983626,0.12243581587983626
4,899,qS2Bdesub_C,0.99,geometry_shape,5,0.04183415594608376,0.041083137641560956,0.03272322145779447,0.06706284360104856,0.06710394059700493,0.04622215170365948,0.13841968367270874,0.13855010095964473,0.10412398069837765
