outer_fold,s2,k,sigma_over_mu,fit_p,r68,r90,tail_safe
0,qS2Bub_C,0.75,0.0478077655794909,1.1049859934294784e-13,0.06457226087049933,0.12665611171412583,True
0,qS2Bub_C,0.76,0.04766719664239847,4.472227421390118e-16,0.0645698937333578,0.12690578535358712,True
0,qS2Bub_C,0.77,0.04777407779498441,1.4785732467612985e-14,0.06474048570932234,0.12673085934222,True
0,qS2Bub_C,0.78,0.047570654341270946,2.0716595255911242e-14,0.06509232540477654,0.12702754798561225,True
0,qS2Bub_C,0.79,0.04592120171924571,8.083496569166721e-13,0.065429559168307,0.12732718337045135,True
0,qS2Bub_C,0.8,0.04513773268152496,1.2505851233589535e-12,0.06566148873364855,0.12697768589017552,True
0,qS2Bub_C,0.81,0.046211848012103825,5.052003079361128e-18,0.06574211673937352,0.1269392216240517,True
0,qS2Bub_C,0.82,0.04690936251367077,5.328352541962559e-15,0.06592202689006443,0.12673553066061521,True
0,qS2Bub_C,0.83,0.046208480477189645,5.3360158902501605e-19,0.06606981640209161,0.12646866418961047,True
0,qS2Bub_C,0.84,0.04626853517988217,2.071438847178693e-16,0.06608583309655541,0.12671307559345854,True
0,qS2Bub_C,0.85,0.04599559252709571,7.036323864985146e-20,0.06594767968832502,0.12703201246453633,True
0,qS2Bub_C,0.86,0.046389856908889665,3.063878640672182e-20,0.06612337395485511,0.12742511427234837,True
0,qS2Bub_C,0.87,0.045059456111786085,4.5332219142425886e-17,0.06626708327184887,0.12756992837089587,True
0,qS2Bub_C,0.88,0.044454734602799126,7.009729913287492e-17,0.06641914913438753,0.12764501959060393,True
0,qS2Bub_C,0.89,0.04529913360801376,1.0440324379036424e-17,0.06663675982754352,0.12780632520646945,True
0,qS2Bub_C,0.9,0.04449763612164056,2.931749163153475e-16,0.06684826579368751,0.1277420397068779,True
0,qS2Bub_C,0.91,0.04442831302377457,5.573974164311294e-17,0.06666295774531049,0.12806453204124843,True
0,qS2Bub_C,0.92,0.042196870698735574,3.270090191081753e-16,0.06661167981075541,0.1285020491360076,True
0,qS2Bub_C,0.93,0.04150326177751389,1.068212687851998e-15,0.06664314457180064,0.12864931096679802,True
0,qS2Bub_C,0.94,0.04124991046620702,6.451684364306772e-20,0.06665320248155776,0.12882431423504265,True
0,qS2Bub_C,0.95,0.040619593571806896,3.5220368321972147e-26,0.06685790811560062,0.12901749892723008,True
0,qS2Bub_C,0.96,0.040332754314872314,6.818722036287889e-33,0.06689991614131,0.12908741382261388,True
0,qS2Bub_C,0.97,0.04003663608537852,3.86822366169116e-37,0.06687992109559636,0.1293451554535166,True
0,qS2Bub_C,0.98,0.03916449474148956,1.4570445113565588e-47,0.0668470107214166,0.1295125126339189,True
0,qS2Bub_C,0.99,0.03897489759651519,2.7257436023426414e-58,0.06678600267499879,0.12967898030387937,True
0,qS2Bub_C,1.0,0.038434652478909356,5.9301761460031906e-58,0.06694344209828065,0.12981625107854486,True
0,qS2Bub_C,1.01,0.03854825019742199,8.709947524939194e-50,0.06734278385337501,0.12982933832487734,False
0,qS2Bub_C,1.02,0.03875068041842701,3.7114708556098283e-53,0.06742092326052772,0.12988905390296807,False
0,qS2Bub_C,1.03,0.038279758834646675,7.846449445955913e-49,0.06783201998068737,0.1302411257750904,False
0,qS2Bub_C,1.04,0.03810101636609915,3.593478445308925e-45,0.06780230139995057,0.13061888511595457,False
0,qS2Bub_C,1.05,0.039089050619265674,1.2648086483377214e-37,0.06798905743233295,0.1307007137990906,False
0,qS2Bub_C,1.06,0.03980330156585158,2.363930908967533e-34,0.06819356192270982,0.13130773349866262,False
0,qS2Bub_C,1.07,0.040137506964595414,3.9180366615819155e-35,0.0680391594423663,0.13147774883352284,False
0,qS2Bub_C,1.08,0.04013240800232509,2.8429123507008024e-32,0.06799628382000986,0.1317412682520119,False
0,qS2Bub_C,1.09,0.040378562896217385,2.535026139073906e-32,0.06808659939751537,0.13169037924717075,False
0,qS2Bub_C,1.1,0.03974032038888439,2.4700320738649618e-23,0.06815132697790348,0.13174498636257934,False
0,qS2Bub_C,1.11,0.03971540306316084,1.935106323104484e-24,0.0680706976091225,0.1319428661194473,False
0,qS2Bub_C,1.12,0.04013744358362894,1.0247858092875658e-18,0.068025269145456,0.13196721479184706,False
0,qS2Bub_C,1.13,0.04025144228133074,3.999829015533331e-17,0.06803996407419476,0.13215294994614987,False
0,qS2Bub_C,1.14,0.04019209623495594,7.365669568726706e-18,0.06815583670899505,0.13239901830008535,False
0,qS2Bub_C,1.15,0.04027149214279072,5.886580476331459e-20,0.06843105241440796,0.13268578861570662,False
0,qS2Bub_C,1.16,0.040356026854720076,3.9085967913730886e-19,0.06871798100772646,0.1328812402860043,False
0,qS2Bub_C,1.17,0.040327353040672996,1.9490248453683477e-20,0.06901271660036036,0.1327916947325428,False
0,qS2Bub_C,1.18,0.04076579739524204,4.119989050166939e-17,0.06904724753872707,0.133117593968639,False
0,qS2Bub_C,1.19,0.040795081399108375,1.0143215850766114e-15,0.06929924391354622,0.13329370283521025,False
0,qS2Bub_C,1.2,0.04065848362651868,7.159520880786094e-14,0.06947954878295848,0.13367437928994805,False
0,qS2Bub_C,1.21,0.040640894884808654,1.1637396799250793e-14,0.06945869463854017,0.13386340673170843,False
0,qS2Bub_C,1.22,0.04061313210617784,1.9401778210537017e-14,0.0696207371510483,0.13388760212872955,False
0,qS2Bub_C,1.23,0.04082150354293493,5.872221386319836e-14,0.06998227442514192,0.13411205689764932,False
0,qS2Bub_C,1.24,0.04095590176901085,1.3897940987985435e-10,0.06997521213642129,0.13431643689999534,False
0,qS2Bub_C,1.25,0.04132151187298121,2.613262838126136e-11,0.06990344858909489,0.1344487757179089,False
0,qS2Bub_C,1.26,0.04125454924527039,2.6598767943890766e-11,0.0701100965867975,0.13472714373087685,False
0,qS2Bub_C,1.27,0.0415163318026949,5.8193252281208184e-11,0.0703589593555344,0.1351303375394511,False
0,qS2Bub_C,1.28,0.04150155657271317,2.6098157279583875e-11,0.07022608005892671,0.1355447001492809,False
0,qS2Bub_C,1.29,0.04166988295072584,1.1734758999193249e-08,0.07038490114396348,0.1357044907363891,False
0,qS2Bub_C,1.3,0.04145798046629617,1.2992448862014974e-07,0.07058193370430821,0.13579395613993273,False
0,qS2Bdesub_C,0.75,0.0477504271491073,7.440652115515045e-14,0.06457175329078488,0.12665673529279037,True
0,qS2Bdesub_C,0.76,0.04763761760957607,5.163099996053329e-16,0.06457003596315135,0.12690569496984228,True
0,qS2Bdesub_C,0.77,0.047702057296741686,1.3059196134064369e-14,0.06474049844885249,0.12673100885656388,True
0,qS2Bdesub_C,0.78,0.04753403912438393,1.8218202828384978e-14,0.06509241490392674,0.12702783883654764,True
0,qS2Bdesub_C,0.79,0.04588768659065454,8.383563299772854e-13,0.06543009247903059,0.12732713413536534,True
0,qS2Bdesub_C,0.8,0.04511483741670136,1.0866597222879565e-12,0.06566153952755174,0.12697735041782113,True
0,qS2Bdesub_C,0.81,0.04620670314054897,3.330903188664702e-18,0.06574226641073393,0.1269388918558356,True
0,qS2Bdesub_C,0.82,0.04691088482844931,8.439507122169032e-15,0.06592212006022423,0.12673519017697069,True
0,qS2Bdesub_C,0.83,0.04622071344773862,9.381346809057922e-19,0.06606958633418179,0.1264682513816199,True
0,qS2Bdesub_C,0.84,0.04626810212570224,2.864432037877398e-16,0.06608599597518787,0.12671309128654132,True
0,qS2Bdesub_C,0.85,0.04598856373184198,6.486900789212047e-20,0.06594778449724194,0.12703160414111214,True
0,qS2Bdesub_C,0.86,0.04637288317996677,2.8237794848801657e-20,0.06612322076092389,0.12742531368411522,True
0,qS2Bdesub_C,0.87,0.045057194088083695,5.206515998638425e-17,0.06624935196379843,0.1275695318300377,True
0,qS2Bdesub_C,0.88,0.04446234260754526,1.0044838429445267e-16,0.06636788816481426,0.12764463555082617,True
0,qS2Bdesub_C,0.89,0.04538383704519715,3.0669439535095275e-18,0.06656584009436854,0.12780615449997465,True
0,qS2Bdesub_C,0.9,0.044530531921874304,1.588761271518175e-16,0.06684846634095896,0.12774235795196504,True
0,qS2Bdesub_C,0.91,0.04446073210800138,2.5586410936263543e-17,0.06666299338014012,0.1280644395250793,True
0,qS2Bdesub_C,0.92,0.04220874362317806,3.5184553228488335e-16,0.06661168696770188,0.12850230622405875,True
0,qS2Bdesub_C,0.93,0.04151360287333622,1.2806999078839588e-15,0.06664332670427216,0.12864953463702913,True
0,qS2Bdesub_C,0.94,0.04126197617006524,6.832593488897222e-20,0.06665307599257594,0.12882457091869526,True
0,qS2Bdesub_C,0.95,0.040635912795259924,5.881808215842617e-26,0.06685809381964401,0.1290181314060335,True
0,qS2Bdesub_C,0.96,0.040327476025652696,5.721715320859822e-33,0.06690008080453702,0.12908787845632919,True
0,qS2Bdesub_C,0.97,0.0400476624703454,5.228661330787099e-37,0.06687966363966702,0.1293455380170517,True
0,qS2Bdesub_C,0.98,0.03918791601137109,5.073127350138362e-47,0.0668472229937045,0.12951282434710049,True
0,qS2Bdesub_C,0.99,0.03899193837291776,7.515272912770713e-58,0.0667862987294654,0.1296783593864345,True
0,qS2Bdesub_C,1.0,0.03844653270532812,9.158102429743365e-58,0.06694358365029693,0.12981618290191171,True
0,qS2Bdesub_C,1.01,0.03856896505539552,1.6953132734389743e-49,0.06734244775889575,0.12982975121593782,False
0,qS2Bdesub_C,1.02,0.03874904348555277,2.8151232057237425e-53,0.0674201572964081,0.12988915996754336,False
0,qS2Bdesub_C,1.03,0.038248440813137115,2.447970877923853e-49,0.06783162306954936,0.13024151267960127,False
0,qS2Bdesub_C,1.04,0.03946611124724342,4.959527267483673e-45,0.06780286171671042,0.13061824964281737,False
0,qS2Bdesub_C,1.05,0.039066865139610274,5.642413832585827e-38,0.06798912447572425,0.13070092534626965,False
0,qS2Bdesub_C,1.06,0.03978918697416194,1.418185066600519e-34,0.06819367239407934,0.1313075610958718,False
0,qS2Bdesub_C,1.07,0.04012711790483816,2.8690494405974886e-35,0.06803946164001896,0.13140709529887745,False
0,qS2Bdesub_C,1.08,0.04012865869591495,2.84877144891112e-32,0.06799615894500544,0.13143758921296086,False
0,qS2Bdesub_C,1.09,0.04039437320063892,3.4495803529067936e-32,0.06808629234562295,0.13140630073535223,False
0,qS2Bdesub_C,1.1,0.03973370500698692,2.5891377453411572e-23,0.06815114581262545,0.1314801447410111,False
0,qS2Bdesub_C,1.11,0.03970764263592985,1.6670292304533764e-24,0.06807071519234904,0.13169737642128618,False
0,qS2Bdesub_C,1.12,0.040134457028643884,1.0054685845716254e-18,0.06802552081563994,0.13190448239283653,False
0,qS2Bdesub_C,1.13,0.04026404542114819,3.791333754086403e-17,0.0680400939350606,0.13215271343197083,False
0,qS2Bdesub_C,1.14,0.0401985041091527,1.26948223428014e-17,0.0681558477428301,0.13239895077925756,False
0,qS2Bdesub_C,1.15,0.0402752316629868,7.747062065487728e-20,0.06843090471812195,0.13268629457310663,False
0,qS2Bdesub_C,1.16,0.040360154903788366,6.651072788868066e-19,0.06871779797195196,0.1328816528417226,False
0,qS2Bdesub_C,1.17,0.0403224153583181,2.3470448204541657e-20,0.06901337767367359,0.13279136847627906,False
0,qS2Bdesub_C,1.18,0.040764390982465565,5.375616011175224e-17,0.0690472354950685,0.13311760291007244,False
0,qS2Bdesub_C,1.19,0.04078986756377754,8.544503223232252e-16,0.0692992819523791,0.1332934838622957,False
0,qS2Bdesub_C,1.2,0.04063592116214222,4.466357757828595e-14,0.06947946420269924,0.1336743162768263,False
0,qS2Bdesub_C,1.21,0.04064374377123902,1.1004819473854989e-14,0.0694585538658308,0.13386368217825448,False
