metric,q025,median,q975,successful_replicates
baseline_resolution,0.06185941301959079,0.06573666276035317,0.06910463154481686,300
improved_resolution,0.06438562951286113,0.06794444678340138,0.0812146509760839,300
delta,-0.0014312647375780137,0.0025500808374501055,0.014756500008490228,300
ratio,0.9788329482105568,1.0385316315655548,1.222286993849002,300
