outer_fold,events,raw_alpha,independent_alpha,s1_sequence,s2_sequence,raw_resolution,independent_resolution,delta,raw_mu,independent_mu
0,858,0.71,0.71,none,none,0.058648035734623606,0.058648035734623606,0.0,1.034224715054557,1.034224715054557
1,911,0.6499999999999999,0.7699999999999999,dt,none,0.06600421057984528,0.07083772452451574,0.0048335139446704645,1.033704816631611,0.9882618050287008
2,903,0.62,0.22999999999999998,none,dt+r2,0.06657604658215897,0.06770904254619198,0.001132995964033004,1.0193137831808168,0.9957822044377379
3,891,0.71,0.74,dt,dt+r2,0.06964082193449872,0.06208139283745814,-0.007559429097040583,1.0050370175005243,1.0053287625706921
4,937,0.62,0.37999999999999995,dt,dt+r2,0.06526097427254557,0.06512208443346436,-0.00013888983908121044,1.0243516741950316,0.9867015477860979
