outer_block,file_start,file_stop,events,base_path,s1_weight,feature_set,feature_count,config,current_sigma,legacy_sigma,foundation_sigma,candidate_sigma,candidate_worst,candidate_r68,candidate_r90,candidate_center_bias_max,near_cap_fraction
0,0,200,869,image_des,0.44999999999999996,environment,64,spline_a0001_c100,0.04561641529343333,0.04634929346873035,0.036459729560773604,0.009523357769598055,0.011002781296536885,0.014436887113704769,0.046348202262435065,0.0002453370622725881,0.024165707710011506
1,200,400,953,image_des,0.44999999999999996,environment,64,spline_a001_c100,0.04035564677431023,0.04112691657334738,0.04483764267325313,0.00977401747039823,0.010444384991959437,0.01282649677334812,0.038425023051260755,0.00039166865876838486,0.03147953830010493
2,400,600,906,image_raw,0.44999999999999996,detector,48,spline_a001_c100,0.04491812998434905,0.04528425710863347,0.035345013089018155,0.009989595134218043,0.010672239878460528,0.013350639338222305,0.04438359424006518,0.0001465924916945749,0.025386313465783666
3,600,800,874,image_des,0.44999999999999996,detector,48,spline_a0001_c100,0.040604706957527374,0.04132339455921302,0.038948057542271194,0.008594859932697804,0.009243347998902453,0.01284078123296994,0.04332249597549163,9.660815881351592e-05,0.017162471395881007
4,800,1000,897,image_des,0.44999999999999996,environment,64,spline_a001_c100,0.041178762766201624,0.04301129902135102,0.03510407466704169,0.009700537900691303,0.010261359137224407,0.014056309754302956,0.04063273696336008,0.0003320056882339939,0.03121516164994426
