scheme,outer_fold,method,complexity,alpha,inner_r68,inner_r90,inner_n
file_mod5,0,raw,0,0.05,0.16917913061129908,0.31103232957947163,3642
file_mod5,0,raw,0,0.07670637023171953,0.1615679780585198,0.2984475273655654,3642
file_mod5,0,raw,0,0.11767734468251262,0.1516623738909471,0.28136397415401976,3642
file_mod5,0,raw,0,0.1805320393820497,0.13970422177611275,0.2577792615592541,3642
file_mod5,0,raw,0,0.2769591490305376,0.12390963905865784,0.22782633959629744,3642
file_mod5,0,raw,0,0.42489062049196813,0.10601731695857049,0.19589502078201812,3642
file_mod5,0,raw,0,0.6518363448688389,0.09141146062680215,0.1657087988640126,3642
file_mod5,0,raw,0,0.75,0.08838747620009846,0.15720322435754489,3642
file_mod5,0,raw,0,1.0,0.0822816142686663,0.14944025643070366,3642
file_mod5,0,raw,0,1.5,0.08124116545805109,0.1516124618064884,3642
file_mod5,0,raw,0,1.5341274046343907,0.08158377322850431,0.15267713931280275,3642
file_mod5,0,raw,0,2.3535468936502513,0.0929188735087822,0.1706520574682893,3642
file_mod5,0,raw,0,3.6106407876409943,0.11227801388046853,0.19612972453213848,3642
file_mod5,0,raw,0,5.539182980610754,0.1308578118125533,0.22024914877721016,3642
file_mod5,0,raw,0,8.49781240983936,0.1439778725858282,0.2426312938771179,3642
file_mod5,0,raw,0,13.03672689737678,0.15442295134958312,0.25782630104227267,3642
file_mod5,0,raw,0,20.0,0.16147568528443185,0.2686900067556124,3642
file_mod5,0,dt_quad,3,0.05,0.11813807948555047,0.2210784337430366,3642
file_mod5,0,dt_quad,3,0.07670637023171953,0.11446379586450509,0.2151676361116207,3642
file_mod5,0,dt_quad,3,0.11767734468251262,0.10958139291838993,0.2055405452958937,3642
file_mod5,0,dt_quad,3,0.1805320393820497,0.10456747680534813,0.1938562690493791,3642
file_mod5,0,dt_quad,3,0.2769591490305376,0.0983888825621738,0.17780056953899487,3642
file_mod5,0,dt_quad,3,0.42489062049196813,0.09050183183673348,0.16682696027222407,3642
file_mod5,0,dt_quad,3,0.6518363448688389,0.08406211767932453,0.15417190789169927,3642
file_mod5,0,dt_quad,3,0.75,0.08170042535383759,0.14955617291535658,3642
file_mod5,0,dt_quad,3,1.0,0.07862818747116077,0.14372338216905733,3642
file_mod5,0,dt_quad,3,1.5,0.0765364344682867,0.14525104225973867,3642
file_mod5,0,dt_quad,3,1.5341274046343907,0.07647409899951324,0.14548012087532722,3642
file_mod5,0,dt_quad,3,2.3535468936502513,0.08008250493443168,0.15303001615606351,3642
file_mod5,0,dt_quad,3,3.6106407876409943,0.08822179901577894,0.16466225955587682,3642
file_mod5,0,dt_quad,3,5.539182980610754,0.09592733765832712,0.17777739203536486,3642
file_mod5,0,dt_quad,3,8.49781240983936,0.10258032545876233,0.1889318887857049,3642
file_mod5,0,dt_quad,3,13.03672689737678,0.10770691293647655,0.19794455909263173,3642
file_mod5,0,dt_quad,3,20.0,0.11096713064274574,0.20356878363195183,3642
file_mod5,0,r2_quad,3,0.05,0.09740833760931013,0.18900219791310785,3642
file_mod5,0,r2_quad,3,0.07670637023171953,0.0935763762943617,0.1817314527459071,3642
file_mod5,0,r2_quad,3,0.11767734468251262,0.08907969915164696,0.17241506173732327,3642
file_mod5,0,r2_quad,3,0.1805320393820497,0.08359397170656908,0.16013104502630346,3642
file_mod5,0,r2_quad,3,0.2769591490305376,0.07734564883083642,0.14546961943380676,3642
file_mod5,0,r2_quad,3,0.42489062049196813,0.07022839290004679,0.13407693939516513,3642
file_mod5,0,r2_quad,3,0.6518363448688389,0.06523607280256004,0.12571912503802937,3642
file_mod5,0,r2_quad,3,0.75,0.06354824882822296,0.12565243487680466,3642
file_mod5,0,r2_quad,3,1.0,0.06476574231033225,0.12817447790710162,3642
