scheme,method,n,median,q05,q16,q84,q95,r68,r90,complexity,r68_percent,r90_percent
file_block5,dt_r2_then_xy,4500,0.9997140402960933,0.895381017051516,0.9428623907327434,1.0622975430808528,1.1318416038095767,0.05973465787913479,0.11826411214952341,12,5.973465787913479,11.82641121495234
file_block5,nested_winner,4500,0.9997140402960933,0.895381017051516,0.9428623907327434,1.0622975430808528,1.1318416038095767,0.05973465787913479,0.11826411214952341,-1,5.973465787913479,11.82641121495234
file_block5,r2_then_dt,4500,1.0000439159027539,0.894233835943751,0.9421917851650804,1.0656410281248363,1.136553254339949,0.0617219109064408,0.1211543885937513,6,6.1721910906440804,12.11543885937513
file_block5,dt_r2_joint,4500,1.0001096471975623,0.8989969531958483,0.9443118463776009,1.0687388845683277,1.1532104519557191,0.06220669830522461,0.12709281400904904,6,6.220669830522461,12.709281400904903
file_block5,dt_then_r2,4500,0.9999771215806963,0.8855037027023205,0.9393450209497343,1.0657091084263277,1.135070093157739,0.06318348927665747,0.12478605013528755,6,6.318348927665747,12.478605013528755
file_block5,r2_quad,4500,0.9999655180201761,0.8946231169924381,0.9432836286798143,1.0700630727318179,1.1447012228584081,0.06339190790449116,0.12504336467576288,3,6.339190790449116,12.504336467576287
file_block5,dt_then_xy,4500,1.0000148470842616,0.8848931686224056,0.9365634360799899,1.068873055524041,1.145089410375451,0.06615382753057401,0.1300961893274376,9,6.615382753057402,13.009618932743761
file_block5,xy_quad,4500,0.9999062343207624,0.8932691866089916,0.9421048683157153,1.0758013266758075,1.1593372981554944,0.06685449783744594,0.13304653097159816,6,6.685449783744595,13.304653097159816
file_block5,dt_quad,4500,1.0002863122384507,0.8901686666741697,0.9378252606073835,1.0895562755646468,1.1782829606562135,0.07584379247263626,0.1440159134724631,3,7.584379247263626,14.40159134724631
file_block5,raw,4500,0.9993672864368409,0.881887660592258,0.9353699705437714,1.0977711898278506,1.1822687437271857,0.08125201889642945,0.15028562932348474,0,8.125201889642945,15.028562932348475
file_mod5,dt_r2_then_xy,4500,1.0000216034193357,0.8850545920469225,0.9395670017430712,1.0562276902413301,1.120570397888496,0.0583290841414653,0.1177553590023872,12,5.83290841414653,11.77553590023872
file_mod5,nested_winner,4500,1.0000216034193357,0.8850545920469225,0.9395670017430712,1.0562276902413301,1.120570397888496,0.0583290841414653,0.1177553590023872,-1,5.83290841414653,11.77553590023872
file_mod5,r2_then_dt,4500,0.9997732973817715,0.8922138476182027,0.9421772896868389,1.0649187671083284,1.1362031709358698,0.0613846547727008,0.12202232443926626,6,6.13846547727008,12.202232443926626
file_mod5,dt_r2_joint,4500,1.000270949591897,0.9016592585719695,0.9451229745306879,1.070818010878511,1.158619288656019,0.06283049427712846,0.12844521286401808,6,6.283049427712846,12.844521286401807
file_mod5,dt_then_r2,4500,1.000177149505228,0.8889777284052228,0.9403290603281588,1.0680187306101778,1.1378283385990324,0.0638335270632733,0.1244032671196858,6,6.38335270632733,12.44032671196858
file_mod5,r2_quad,4500,0.9999955908624014,0.8966890316382525,0.9433573492050717,1.071137652774426,1.1443043870566478,0.06389043348638963,0.12380822359669133,3,6.389043348638963,12.380822359669134
file_mod5,dt_then_xy,4500,1.0000345434954112,0.8898445639025,0.9398550348991679,1.0726636849481914,1.1481285496039402,0.06640203126624943,0.1291375319889764,9,6.640203126624942,12.91375319889764
file_mod5,xy_quad,4500,0.9996808875109049,0.8918382721436491,0.9416853628743638,1.0763178347708995,1.1567718188578544,0.06733772425706552,0.13250905865263696,6,6.733772425706553,13.250905865263697
file_mod5,dt_quad,4500,1.0001684888684836,0.890907301201766,0.9381215250030966,1.0892166153151097,1.1782487053342858,0.07553481837992658,0.143646499230143,3,7.553481837992658,14.3646499230143
file_mod5,raw,4500,0.9997626551415497,0.8837627558228275,0.9366086442721829,1.096940741548913,1.1862344544622774,0.0801850801548642,0.15127175289250275,0,8.01850801548642,15.127175289250275
