name,w_m06,w_s10,w_s02,sigma,sigma_gain,r68,r68_gain,r90,r90_gain,protocol_successes,background_applied,background_rank_corr,background_spike_growth,background_2600_spike_growth,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safe,safety_pass_count
W_0.00_1.00_0.00,0.0,1.0,0.0,0.041660389341621196,0.002884383094648779,0.0677468961288547,-8.176018799299634e-05,0.13083147272635196,0.0029591103165963473,12,0.6960440351869952,0.9999676699168484,1.0993788819875776,0.9995421245421245,0.9934007774300845,1.0067218998085532,0.0002202284992320891,0.015581467340831767,10,True,12
W_1.00_0.00_0.00,1.0,0.0,0.0,0.04166268293908018,0.0028294872599868848,0.06777750435145811,-0.0005335997096032052,0.13117228744255305,0.0003618284793042159,12,0.23134934924636041,0.9999983338858605,1.0613756613756613,0.9969278033794163,0.9978202951271355,1.0022044688359628,0.00025911521009569505,0.019502631307398627,10,True,12
W_0.00_0.70_0.30,0.0,0.7000000000000001,0.29999999999999993,0.041673001513546984,0.00258251857084002,0.06775915529961948,-0.00026273044312552507,0.13080260200497282,0.0031791283988652497,12,0.7842687381038119,0.9999703952284208,1.0894071914480077,1.0894071914480077,0.9935275032179214,1.0064728076953469,0.00014234965980342018,0.0133920010282228,10,True,12
W_0.30_0.65_0.05,0.30000000000000004,0.65,0.04999999999999993,0.04168567313091266,0.002279231257244385,0.06765978047750434,0.0012042437313111165,0.13079032060184173,0.0032727225536141047,12,0.7864087658830187,0.9999839632717774,1.0535714285714286,1.0535714285714286,0.9954249660769489,1.0046120884159324,0.0001249435117718356,0.013701779539993741,10,True,12
W_0.00_0.75_0.25,0.0,0.75,0.25,0.04168782547313222,0.0022277162792530003,0.06776799974256228,-0.00039329238133301025,0.13080969204440998,0.0031250966045193174,12,0.7842687381038119,0.9999701242931559,1.0894071914480077,1.0894071914480077,0.9935204873552966,1.006473531200982,0.00011433371504021572,0.0133920010282228,10,True,12
W_0.00_0.95_0.05,0.0,0.9500000000000001,0.04999999999999993,0.041688267076039065,0.002217146787180435,0.06778259719852525,-0.0006087804743364345,0.1308299818018718,0.002970472358459597,12,0.7842687381038119,0.9999683095632883,1.0867026055705302,1.0867026055705302,0.9934920083086092,1.006563938200436,0.00018995220100737065,0.0133920010282228,10,True,12
W_0.05_0.95_0.00,0.05,0.9500000000000001,0.0,0.04170883269355549,0.0017249214690544523,0.06776322652389845,-0.00032282998090060744,0.13074546049622082,0.003614592584482934,12,0.7201913678687175,0.999970706587754,1.032069970845481,0.9995421245421245,0.9937300826972932,1.0063853084042886,0.00019651318836721998,0.017645237849551187,10,True,12
W_0.00_0.00_1.00,0.0,0.0,1.0,0.04172116678901412,0.0014297125332629612,0.06767660545301969,0.000955872926300283,0.13081991907771584,0.0030471583976520167,12,0.7449663048510726,0.999966356529016,0.9568037741412354,0.9306547619047619,0.9933860249522408,1.006708066639096,0.00024158709519417343,0.011220879105763082,10,True,12
W_0.05_0.90_0.05,0.05,0.9,0.04999999999999993,0.04173288269827938,0.0011492995011417317,0.06776873241277795,-0.0004041080815464504,0.13074648122980057,0.0036068137748794804,12,0.7864087658830187,0.999971312289529,1.0460992907801419,0.9705627705627706,0.9938187764173528,1.0062365448830233,0.00017812426487551214,0.013701779539993741,10,True,12
W_0.30_0.60_0.10,0.30000000000000004,0.6000000000000001,0.09999999999999987,0.041735023824842975,0.001098052962929419,0.06765693603493107,0.0012462334798897245,0.1307822949175985,0.0033338847127754034,12,0.7864087658830187,0.9999843246290773,1.0759878419452888,1.0535714285714286,0.9954405991188301,1.0045719443703158,0.00010005003550705993,0.013701779539993741,10,True,12
W_0.05_0.00_0.95,0.05,0.0,0.95,0.0417360437247732,0.0010736422897653641,0.06777372110225763,-0.00047775126877636076,0.1308560515148153,0.0027718002098906513,12,0.7495447296671639,0.9999695092029577,0.9995421245421245,0.9296218487394958,0.9937155693240217,1.006372179050187,0.00021651268693134718,0.011530934433636175,10,True,12
W_0.00_0.05_0.95,0.0,0.05,0.95,0.04173943290122159,0.0009925244505289976,0.06769357783672815,0.0007053260770180092,0.13082408962984882,0.00301537544113184,12,0.7842687381038119,0.9999671267938183,1.03015873015873,0.9725274725274725,0.9934980958356225,1.0066317879433364,0.0002889776882115669,0.0133920010282228,10,True,12
W_0.00_0.10_0.90,0.0,0.1,0.9,0.04174864030338911,0.0007721509821708716,0.06769138880696743,0.0007376406015393577,0.1307838966065648,0.0033216785565753915,12,0.7842687381038119,0.9999678248106904,1.0460992907801419,1.0157509157509157,0.9935203261320792,1.0066068358480613,0.0002670895144267771,0.0133920010282228,10,True,12
W_0.05_0.05_0.90,0.05,0.05,0.8999999999999999,0.04175372059274983,0.0006505574027534378,0.06778338950157481,-0.0006204764762742787,0.13082357992762683,0.0030192597813926136,12,0.7864087658830187,0.9999702416411232,0.9863221884498481,0.9225302061122956,0.9938249264051063,1.0062987321959833,0.0002947133604491725,0.013701779539993741,10,True,12
W_0.30_0.55_0.15,0.30000000000000004,0.55,0.1499999999999999,0.04175485080108163,0.0006235065663161565,0.0676966784722992,0.0006595543995422393,0.13079495914636777,0.0032373731192257837,12,0.7864087658830187,0.9999846083383476,1.058974358974359,1.058974358974359,0.9954488435600456,1.004543269734463,6.506130905092888e-05,0.013701779539993741,10,True,12
W_0.05_0.10_0.85,0.05,0.1,0.85,0.041755238974186176,0.000614215883470326,0.06776291359988405,-0.0003182105869945495,0.13078919929088012,0.00328126784363858,12,0.7864087658830187,0.9999708941509643,0.9995421245421245,0.9577922077922078,0.9938454010416462,1.0062744652677749,0.00027222761349166014,0.013701779539993741,10,True,12
W_0.00_0.40_0.60,0.0,0.4,0.6,0.04175858351386276,0.000534166397721747,0.06776478880178761,-0.00034589237505544546,0.1308135751701518,0.0030955040679248036,12,0.7842687381038119,0.9999704541698191,1.0535714285714286,1.020124716553288,0.9935463310698099,1.0065002170292434,0.0002173322649570153,0.0133920010282228,10,True,12
W_0.00_0.15_0.85,0.0,0.15000000000000002,0.85,0.04176799290137623,0.000308958535206183,0.06770979055078936,0.00046599349438680715,0.13079136138348757,0.0032647909616468906,12,0.7842687381038119,0.9999684446296272,1.0034013605442178,1.0003607503607503,0.9935317595257814,1.0065850897764028,0.00016834669628007504,0.0133920010282228,10,True,12
W_0.90_0.00_0.10,0.9,0.0,0.09999999999999998,0.0417686031368711,0.0002943529265803102,0.06764926544234796,0.0013594670030552258,0.13131041181367092,-0.0006907901528683258,12,0.7495447296671639,0.9999980740476517,1.0828373015873016,0.9438244047619048,0.9978785371258795,1.0022837224793475,4.573165269317059e-05,0.011530934433636175,10,True,12
W_0.30_0.70_0.00,0.30000000000000004,0.7000000000000001,0.0,0.04170139175238234,0.00190301578755403,0.06766067208933417,0.0011910817301106214,0.1307997808558028,0.0032006278211357264,12,0.7201913678687175,0.99998352980771,1.1058763931104356,1.0373626373626375,0.9953610076080508,1.0047187548256677,0.00019241286559434911,0.017645237849551187,10,False,11
W_0.85_0.10_0.05,0.8500000000000001,0.1,0.049999999999999906,0.04176289072275624,0.00043107602048730875,0.0677648424611373,-0.0003466844960227089,0.13118306523460252,0.0002796930485099436,12,0.7864087658830187,0.9999978252854914,1.155026455026455,0.9742703533026115,0.9979268606024183,1.002344239240185,2.0934457909627113e-05,0.013701779539993741,10,False,11
W_0.90_0.05_0.05,0.9,0.05,0.049999999999999975,0.04176367320543643,0.0004123477821604826,0.06763117024713129,0.0016265888302872122,0.1313064479597585,-0.0006605824027827722,12,0.7864087658830187,0.9999981354210581,1.1238095238095238,0.9811035525321239,0.9979039552535776,1.0022760945899225,3.451229676221246e-05,0.013701779539993741,10,False,11
