method,outer_fold,events,alpha,selected_sequence,baseline_resolution,corrected_resolution,baseline_mu,corrected_mu
documented_corrected_lifetime,0,858,0.7100000000000001,dt+r2,0.05972935275873737,0.04673315269218317,1.0333911632158608,1.0297067252868595
documented_corrected_lifetime,1,911,0.7300000000000001,dt+r2+phi,0.058081180649850656,0.05070696888854718,1.0262502940423768,1.0300812513364326
documented_corrected_lifetime,2,902,0.67,dt+r2,0.063989429829974,0.04655219049099979,1.0068829078210317,1.0064789808319177
documented_corrected_lifetime,3,890,0.7100000000000001,dt+r2+phi,0.06553073168411291,0.0512340991530318,1.0071218106486604,1.009091098036685
documented_corrected_lifetime,4,936,0.55,dt+r2+phi,0.06868724121961195,0.05092771711023063,1.0133088686460663,1.0141639345397844
exploratory_ub_bottom_stretch,0,858,0.7100000000000001,r2,0.047467025680334826,0.04788416231692525,1.0094935875026534,1.0099406032672824
exploratory_ub_bottom_stretch,1,911,0.65,dt+r2+phi,0.050068913238527434,0.04676128028388168,1.0039724743967204,1.002321152250919
exploratory_ub_bottom_stretch,2,902,0.6900000000000001,none,0.04651526536944433,0.04651526536944433,0.999413099097867,0.999413099097867
exploratory_ub_bottom_stretch,3,890,0.63,dt+r2,0.04877416114972042,0.04661833940709094,0.997194126098156,0.9967527910439333
exploratory_ub_bottom_stretch,4,936,0.67,dt+r2+phi,0.04784617399078736,0.04631117217488269,0.9978355449393583,0.9980144684658485
