method,alpha,scale_train,validation_resolution,validation_mu,validation_sigma,validation_signal_fraction,fit_success
s1_only_corrected,0.03,0.9241698945283772,0.09432261943358573,1.0352115481243838,0.09764386488698937,0.8834833982680401,True
s1_only_corrected,0.05,0.924169894528377,0.09432124972225248,1.035207343841266,0.09764205039276172,0.8834509021224567,True
s1_only_corrected,0.07,0.9241698945283772,0.09432013239381931,1.0352069598455371,0.09764085750763425,0.883430981924196,True
s1_only_corrected,0.09,0.9241698945283772,0.09432315418903937,1.0352099580619263,0.09764426849230405,0.8834797745453029,True
s1_only_corrected,0.11,0.924169894528377,0.09431982150587558,1.0352066734291032,0.09764050865952424,0.883424047167797,True
s1_only_corrected,0.13,0.9241698945283772,0.09432122912389594,1.0352073539935687,0.09764203002676944,0.8834505006270498,True
s1_only_corrected,0.15,0.924169894528377,0.09432066955398499,1.0352073466392646,0.09764145006221968,0.8834399391861645,True
s1_only_corrected,0.17,0.9241698945283772,0.09432078545226993,1.0352072733587594,0.0976415631291009,0.8834425909381636,True
s1_only_corrected,0.19,0.9241698945283772,0.09432009186409107,1.0352070407287102,0.09764082317988582,0.8834303997340274,True
s1_only_corrected,0.21,0.9241698945283772,0.09432016651218454,1.035206994709292,0.09764089611555855,0.8834324026053467,True
s1_only_corrected,0.23,0.9241698945283772,0.09432119147021617,1.0352074343126323,0.09764199862319302,0.8834494038338208,True
s1_only_corrected,0.25,0.9241698945283772,0.09432124452297307,1.0352074672487688,0.09764205665037876,0.8834500406482391,True
s1_only_corrected,0.27,0.9241698945283772,0.09432039597051514,1.0352070975853058,0.09764114335573375,0.8834359402552922,True
s1_only_corrected,0.29000000000000004,0.9241698945283771,0.0943203020273476,1.0352068673521881,0.09764102438944275,0.8834337142714743,True
s1_only_corrected,0.31000000000000005,0.9241698945283772,0.0943209688825758,1.0352072944447028,0.09764175500633429,0.883445272958424,True
s1_only_corrected,0.32999999999999996,0.9241698945283772,0.09432091904986453,1.0352072305828295,0.09764169739563751,0.8834448219727026,True
s1_only_corrected,0.35,0.9241698945283772,0.09432074773535162,1.0352072502087604,0.09764152190074751,0.8834420558421338,True
s1_only_corrected,0.37,0.9241698945283772,0.0943201834521533,1.0352069281471883,0.09764090737378288,0.8834309172244469,True
s1_only_corrected,0.39,0.9241698945283772,0.09432104521968392,1.0352073370318102,0.09764183804792594,0.883446418383909,True
s1_only_corrected,0.41000000000000003,0.9241698945283772,0.09431976629029164,1.0352067527714761,0.09764045898353735,0.8834234143088141,True
s1_only_corrected,0.43000000000000005,0.9241698945283772,0.09432106061154516,1.03520744511544,0.09764186417625623,0.8834467654615896,True
s1_only_corrected,0.44999999999999996,0.9241698945283772,0.09431967213207892,1.0352068786960076,0.09764037338748023,0.8834238084964724,True
s1_only_corrected,0.47,0.9241698945283772,0.09432347116293714,1.0352109551857316,0.09764469067901797,0.8834942113635609,True
s1_only_corrected,0.49,0.9241698945283772,0.09432045094655372,1.0352070160042692,0.09764119257255893,0.8834357121947399,True
s1_only_corrected,0.51,0.9241698945283772,0.09432045094655372,1.0352070160042692,0.09764119257255893,0.8834357121947399,True
s1_only_corrected,0.53,0.9241698945283772,0.09432347116293714,1.0352109551857316,0.09764469067901797,0.8834942113635609,True
s1_only_corrected,0.55,0.9241698945283772,0.09431967213207892,1.0352068786960076,0.09764037338748023,0.8834238084964724,True
s1_only_corrected,0.5700000000000001,0.9241698945283772,0.0943215509327248,1.035209075717089,0.09764252556126839,0.8834563602115292,True
