method,bootstrap,baseline_resolution,improved_resolution,delta,ratio
exploratory_ub_bottom_stretch,0,0.04773773780290255,0.046296929975806284,-0.0014408078270962688,0.9698182634241067
exploratory_ub_bottom_stretch,1,0.04773711618030638,0.04663708134050539,-0.0011000348398009854,0.9769564035739805
exploratory_ub_bottom_stretch,2,0.04901633994870999,0.04796886924593423,-0.001047470702775763,0.9786301730428706
exploratory_ub_bottom_stretch,3,0.04955699059144593,0.04813833895104281,-0.0014186516404031194,0.9713733295046372
exploratory_ub_bottom_stretch,4,0.04925306598538766,0.048453702344729996,-0.0007993636406576632,0.9837702765367984
exploratory_ub_bottom_stretch,5,0.04804687608787482,0.04631874688096439,-0.0017281292069104282,0.964032433581118
exploratory_ub_bottom_stretch,6,0.04844792571005615,0.047329690559531123,-0.0011182351505250251,0.976918822960197
exploratory_ub_bottom_stretch,7,0.046508625375285266,0.045072171367258274,-0.0014364540080269925,0.9691142450150693
exploratory_ub_bottom_stretch,8,0.0498608662764027,0.04785964359114801,-0.00200122268525469,0.9598638604840728
exploratory_ub_bottom_stretch,9,0.04721984004513725,0.046302988496947355,-0.0009168515481898926,0.9805833406611822
exploratory_ub_bottom_stretch,10,0.04912749007908249,0.04804536782099107,-0.001082122258091421,0.9779731825023121
exploratory_ub_bottom_stretch,11,0.0484288769023045,0.04708246727541967,-0.0013464096268848286,0.9721982066691132
exploratory_ub_bottom_stretch,12,0.04629233769310374,0.04509140340412787,-0.0012009342889758648,0.974057601131801
exploratory_ub_bottom_stretch,13,0.049082006086990024,0.04811852284546659,-0.0009634832415234343,0.9803699294642559
exploratory_ub_bottom_stretch,14,0.048292939973020664,0.046969698509123935,-0.0013232414638967294,0.9725996912874642
exploratory_ub_bottom_stretch,15,0.04818237947962537,0.04713474996301581,-0.001047629516609562,0.9782569991784534
exploratory_ub_bottom_stretch,16,0.048370911116125896,0.04719102347888796,-0.0011798876372379336,0.9756074961167192
exploratory_ub_bottom_stretch,17,0.04879167668329579,0.0473191997366789,-0.0014724769466168894,0.9698211447789618
exploratory_ub_bottom_stretch,18,0.04788875436053607,0.04676764907070324,-0.0011211052898328286,0.9765893829396259
exploratory_ub_bottom_stretch,19,0.048503771670893626,0.046689268443250345,-0.0018145032276432813,0.9625904715213696
exploratory_ub_bottom_stretch,20,0.048389407615988055,0.047064503204041236,-0.0013249044119468187,0.972619949753031
exploratory_ub_bottom_stretch,21,0.04790719609844078,0.04641529212336977,-0.0014919039750710128,0.9688584576729263
exploratory_ub_bottom_stretch,22,0.04910385712241932,0.04815285304097784,-0.0009510040814414769,0.980632802855577
exploratory_ub_bottom_stretch,23,0.0474436653804702,0.04606737872650246,-0.0013762866539677385,0.9709911398512165
exploratory_ub_bottom_stretch,24,0.04911107080269405,0.047252785281834575,-0.0018582855208594748,0.9621615759850722
exploratory_ub_bottom_stretch,25,0.04808796236726091,0.04745138978663737,-0.0006365725806235373,0.9867623299202852
exploratory_ub_bottom_stretch,26,0.048234042174718175,0.04680548720843856,-0.0014285549662796174,0.9703828478420913
exploratory_ub_bottom_stretch,27,0.04760629255757345,0.04627216189708443,-0.0013341306604890205,0.9719757496579771
exploratory_ub_bottom_stretch,28,0.048556064503180875,0.04700870650157698,-0.0015473580016038962,0.968132549096879
