method,window_low,window_high,success,n,mu,sigma,resolution,signal_fraction,background_slope,nll,message
baseline,0.76,1.24,True,892,1.0072541436053197,0.06905326263477622,0.068555947943396,0.9014349508374754,6.748489070622954,-1014.0831047588949,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
selected_correction,0.76,1.24,True,904,1.0044535478872991,0.04962838638778057,0.049408343961914035,0.8253707304074981,6.399929321926034,-1151.9504571661278,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline,0.78,1.22,True,888,1.002019631407392,0.06274210102363922,0.06261564050947233,0.8299202875674725,6.017541472672344,-1031.6011585444346,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
selected_correction,0.78,1.22,True,898,1.003182614477693,0.04799147825500483,0.04783922444667922,0.8116312510112386,6.938873752639158,-1174.4254925463683,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline,0.8,1.2,True,879,0.9981562562414732,0.05553168049008981,0.055634255801985,0.743141763151606,4.922694724333972,-1054.4235557474294,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
selected_correction,0.8,1.2,True,884,1.0023694859881407,0.04624672435052296,0.04613740242195493,0.7997644863008804,6.700941591964179,-1195.888298976271,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline,0.82,1.18,True,865,0.9950313776993293,0.05015573803232561,0.05040618733882911,0.679648775003151,4.830489549386033,-1084.891741962222,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
selected_correction,0.82,1.18,True,867,1.001803405588478,0.0440501182063006,0.04397082098201168,0.780191448389385,5.97451774218953,-1217.4613671620912,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
