block,file_low,file_high,events,baseline_resolution,improved_resolution,baseline_mu,improved_mu
0,4.0,219.0,187,0.06591667286980722,0.054119733181134964,1.001629353715119,1.0056375109895925
1,219.0,404.0,185,0.06030613316311101,0.04321882464097983,1.0036506084161172,1.0059071469971528
2,404.0,624.0,189,0.045709763839648504,0.04194966989444758,0.9984568768304162,1.002870782744295
3,624.0,809.0,187,0.07564796366845569,0.04988067968088377,1.0151599032209697,1.0030458621456202
4,809.0,999.0,188,0.08071246726669781,0.04961681812311385,1.0123066402478806,0.9977197700574544
