method,s1,s2,note,alpha_normalized_s1,equivalent_s1_coefficient_if_s2_is_1,best_validation_resolution,test_events,test_success,test_n,test_mu,test_sigma,test_resolution,test_signal_fraction,test_background_slope,test_nll,test_message
ub_desat_bottom_stretch,qS1ub_C,qS2Bdesub_C_stretch,undocumented derived branches,0.65,114.12486078839997,0.04832566237387095,936,True,899,0.9957840290806671,0.04727956335451115,0.047479736543034175,0.8651301580665859,9.588723089909122,-1232.1370231933784,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
ub_bottom_stretch,qS1ub_C,qS2Bub_C_stretch,undocumented derived branches,0.65,114.12458230889192,0.048330284071828926,936,True,899,0.9957851457695104,0.04728145714491101,0.047481585104760166,0.8651787777762294,9.596249543515402,-1232.1643267480367,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
mcpaf_desat,qS1C_desImageMCPAF_maxS2,qS2BdesC_desImageMCPAF_maxS2,undocumented MCPAF branches,0.39,35.151115075664094,0.05236974023824526,936,True,925,0.9973411957819099,0.05574643548064016,0.05589504947395185,0.8292227876536309,-0.4720363303036821,-1143.3355508181314,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
corrected_lifetime,qS1C_max,qS2Belife_max,documented corrected branches; primary baseline,0.67,104.58071632974314,0.06493494225084534,936,True,888,1.002019631407392,0.06274210102363922,0.06261564050947233,0.8299202875674725,6.017541472672344,-1031.6011585444346,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
corrected_bottom,qS1C_max,qS2BC_max,corrected bottom S2 before the named lifetime branch,0.67,98.27780630754536,0.06493492847757688,936,True,888,1.0020199010174216,0.06274291327172826,0.06261643427243406,0.8299326147554336,6.017969429424018,-1031.6011613087512,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_bottom,qS1_max,qS2B_max,documented raw-like branches,0.63,65.05554156199976,0.06570138435212425,936,True,877,1.0241134726028926,0.06608652773007313,0.0645304739152657,0.8793014279736867,8.408688316126746,-1045.6159317736688,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
corrected_total_s2,qS1C_max,qS2C_max,uses total corrected S2,0.63,187.01614786932535,0.06980646736126665,936,True,893,0.9907053314308786,0.07838536862122433,0.07912076995488872,0.8733887212491738,5.4974925961122745,-937.4865571721537,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s2b_only_lifetime,qS2Belife_max,qS2Belife_max,lifetime-corrected bottom-S2-only control,0.39,,0.10550296448241105,936,True,823,0.998335212257606,0.0818682870582853,0.08200480765688987,0.6231631456728008,0.7854727086504603,-762.8665660358399,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
s1_only_corrected,qS1C_max,qS1C_max,S1-only control,0.44999999999999996,,0.09431967213207892,936,True,735,1.031059877025186,0.0890646587462637,0.08638165515976924,0.8388454039176417,7.9010228910163285,-748.6165583877583,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
