method,stage,success,n,mu,sigma,resolution,signal_fraction,background_slope,nll,message,robust_central68
documented_corrected_lifetime,baseline,True,4211,1.0171131273889062,0.06552913388230588,0.06442659338251759,0.8322479519084912,6.659248896739767,-4855.068906093474,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.07635194796356284
documented_corrected_lifetime,corrected,True,4282,1.0174231595597198,0.051085064428885364,0.05021024334750935,0.8145609131107437,6.976175810239762,-5523.551351208099,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.06487962087157857
exploratory_ub_bottom_stretch,baseline,True,4311,1.0012049252834565,0.04825853870528152,0.04820046075144784,0.8576226634614122,9.27077981152065,-5844.4106549167145,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.06380306330702057
exploratory_ub_bottom_stretch,corrected,True,4315,1.0010426892609061,0.04699964467221939,0.04695068969228511,0.8473745668937321,8.837216524531927,-5876.336283334615,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.06241979551000508
