name,features,feature_count,alpha,cap,calibration_base_r68,calibration_oof_r68,calibration_oof_r90,relative_r68_improvement,calibration_base_sigma,calibration_oof_sigma,relative_sigma_improvement,calibration_protocol_successes,calibration_center_bias_max,background_applied,background_ood,background_strong,background_near_cap,background_energy_trend,background_rank_corr,background_spike_growth,background_median_scale_shift,background_ratio_q01,background_ratio_q99,time_ratio_span,time_applied_fraction_span,time_supported_blocks,safety_pass_count,safe
M06_dt_s2width,dt|wS2CDF_max,2,1000.0,0.0025,0.06774135758272384,0.06777750435145811,0.13117228744255305,-0.0005335997096032052,0.04178090146749322,0.04166268293908018,0.0028294872599868848,12,0.1571452617666217,0.22803642162662688,0.04163794433870055,0.7682596841401307,0.0,0.0009847546671419348,0.9999983457136354,1.0613756613756613,0.0,0.9978213504760758,1.002203999453338,0.0002591569557399698,0.01816680429397191,10,13,True
M01_dt,dt,1,1000.0,0.0025,0.06774135758272384,0.06774873742088115,0.13116169619783505,-0.00010894139740691422,0.04178090146749322,0.04175666132864837,0.0005801727103400545,12,0.15707207158092806,0.2398271516024487,0.016307423221359123,0.7597921703791347,0.0,0.0010307350556187616,0.9999982808276758,1.0742296918767507,0.0,0.9978186792560464,1.0022073086379801,0.00020033590544366042,0.01145747316267548,10,13,True
M03_dt_x,dt|xS2T_max,2,1000.0,0.0025,0.06774135758272384,0.06774440765198708,0.13122952341719235,-4.502521608773513e-05,0.04178090146749322,0.04184758777303855,-0.001596095421665611,12,0.15740246359975152,0.2400843664797572,0.020906425227635167,0.7588353310355471,0.0,0.0009787561230509027,0.9999982776238338,1.0479969765684052,0.0,0.9978218839886778,1.0022056194455347,0.000161522414288795,0.019199009083402135,10,12,False
M09_dt_xy_width,dt|xS2T_max|yS2B_max|wS2CDF_max,4,1000.0,0.0025,0.06774135758272384,0.06774655251954677,0.13120361323363797,-7.668781684189163e-05,0.04178090146749322,0.041859239972077814,-0.0018749835889859678,12,0.15730996161352206,0.22458974227069295,0.05927259632697155,0.7708729872935851,0.0,0.0010698262057256744,0.9999983631894733,0.9772256728778468,0.0,0.9978185797147437,1.0022011186739341,0.0002518716407231558,0.01383154417836499,10,12,False
M04_dt_y,dt|yS2B_max,2,1000.0,0.0025,0.06774135758272384,0.06775639068128753,0.13120104921311868,-0.00022191906244750648,0.04178090146749322,0.04187045905977842,-0.002143505504659249,12,0.15765528846823862,0.2389629096146921,0.02997067750398683,0.7590102371521169,0.0,0.0011297843742082362,0.9999982634505036,1.0952380952380953,0.0,0.9978208224106411,1.0022069933005007,0.00011031742664080468,0.015197380481786177,10,12,False
M07_dt_xy,dt|xS2T_max|yS2B_max,3,1000.0,0.0025,0.06774135758272384,0.06773661493581859,0.13111767491300338,7.00110991939118e-05,0.04178090146749322,0.042122047826950226,-0.008165126827683,12,0.15829775530475299,0.23658624414836155,0.03455939091517053,0.7608107412932764,0.0,0.0012396646299990181,0.9999982751349185,0.9588057445200303,0.0,0.9978193532103196,1.0022110053288145,0.0002838604870381012,0.014371350316051329,10,12,False
M02_dt_s2pattern,dt|qS2channelStdevTo1_max,2,1000.0,0.0025,0.06774135758272384,0.06771267606015768,0.13116525451083919,0.0004233975165190973,0.04178090146749322,0.04181312795174852,-0.0007713209414681454,12,0.15733781166521077,0.11210453212613818,0.2691496476156181,0.8868666083646278,0.0,0.0009245068805883382,0.9999990619777436,1.0702947845804989,0.0,0.9979202064969708,1.0021191204361353,0.0003275820024675191,0.00908340214698597,10,11,False
M10_all_six,dt|qS2channelStdevTo1_max|xS2T_max|yS2B_max|qS1channelStdevTo1_max|wS2CDF_max,6,1000.0,0.0025,0.06774135758272384,0.06777563324498598,0.1312197664911172,-0.0005059783784266969,0.04178090146749322,0.04181427815760501,-0.000798850406273699,12,0.15694766944625627,0.02691496476156181,0.39654303204897373,0.9688461340603941,0.0,0.0017813473730128983,0.9999996812389036,0.9961038961038962,0.0,0.9994352221847843,1.001207223260649,0.0005834725840412336,0.0049515254727559715,10,10,False
M08_dt_patterns,dt|qS2channelStdevTo1_max|qS1channelStdevTo1_max,3,1000.0,0.0025,0.06774135758272384,0.06771260554766236,0.13127775355815688,0.0004244384241396393,0.04178090146749322,0.04186247378057781,-0.0019523827926033466,12,0.15680498052367486,0.025217346571325686,0.389413035649982,0.9726323370543752,0.0,0.0022971605197928697,0.9999997428757856,1.0,0.0,0.9995927636432298,1.0010357111493742,0.0006082933539495183,0.006606110652353427,10,10,False
M05_dt_s1pattern,dt|qS1channelStdevTo1_max,2,1000.0,0.0025,0.06774135758272384,0.0678565229769545,0.1311501195915578,-0.0017000750847075974,0.04178090146749322,0.04185763285385778,-0.0018365182097437316,12,0.15696948801491384,0.05586707135140696,0.23106126858377488,0.9434024383970369,0.0,0.0014683499201794304,0.9999993817861842,1.0,0.0,0.9982679773579617,1.001968211800663,0.0005637337528210384,0.005780346820809253,10,9,False
