id,set,features,bins,shrink,cap,sigma_gain,r68_gain,r90_gain,protocol,bg_applied,bg_ood,bg_strong,rank,spike,spike2600,q01,q99,time_span,time_coverage,blocks,safe,passes
top_xy_b4_s3_c50,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,0.3,0.005,0.0023158851467508512,0.0015088088000292377,0.0005539776714231781,12,0.8911775297083183,0.0006584700859097691,0.10511857605843922,0.9999806192631494,1.0963995354239258,0.9488304093567251,0.9955559997148006,1.004437063190556,0.00019006518558306595,0.006801365574230611,10,True,15
both_xy_b4_s3_c50,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,4,0.3,0.005,0.0006361486487354018,-4.8428752996487745e-05,-0.0013189164895235361,12,0.8513400895107773,0.004959102834507948,0.14097432995524461,0.999981513410224,0.9772256728778468,0.9772256728778468,0.9955523212321002,1.0044588350398274,0.00016412780390262505,0.011648456084134007,10,True,15
corrected_xy_b8_s6_c75,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,8,0.6,0.0075,0.0018268279573150359,-0.010323168106338487,0.0018640774698523987,12,0.6232830906939657,0.004928237049230928,0.3716240547353259,0.9999674320970389,1.0613756613756613,1.0157509157509157,0.993352006090745,1.0067475961274281,0.00028354967755395144,0.01568951279933939,10,False,14
both_xy_b8_s9_c25,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,8,0.9,0.0025,-0.00048306535828324115,-6.224732558779422e-05,-0.0004341495733464207,12,0.16037862029939812,0.004959102834507948,0.8388703122588611,0.9999988189917849,1.0479969765684052,1.0479969765684052,0.9978575010465403,1.0021837901273518,0.0003802724355561615,0.015086084750181528,10,False,14
corrected_xy_b6_s3_c50,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,6,0.3,0.005,-0.0007143839676073682,-0.0009748544358807454,-0.001923776005203548,12,0.7946910849323525,0.004928237049230928,0.19780852924533154,0.9999802988925114,0.9961038961038962,0.9961038961038962,0.9955489526412662,1.004492289622996,0.00018597672963172052,0.011229746776269645,10,False,14
both_xy_b4_s3_c75,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,4,0.3,0.0075,-0.0011490916934184803,0.0016824912740193154,0.0023693261830184387,12,0.9557796182931221,0.004959102834507948,0.03620556612994496,0.9999664841775392,1.0886904761904763,1.0471861471861472,0.9933491458914039,1.0059485438919296,0.000175908545560155,0.005367464905037145,10,False,14
top_xy_b8_s9_c25,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,8,0.9,0.0025,-0.0012480153654415016,0.0003021978474887499,-0.00019921142148171533,12,0.16585215288852306,0.0006584700859097691,0.8339112094243532,0.9999987803912622,1.042929292929293,1.042929292929293,0.9978459235242417,1.0021699644145041,0.0002204359213857643,0.011886878451637856,10,False,14
both_xy_b4_s6_c25,both_xy,dt|wS2CDF_max|xS2T_max|yS2T_max|yS2Tcor_max|xS2Bcor_max,4,0.6,0.0025,-0.0019488467153803146,0.0019125256840909488,0.0007432191047799241,12,0.29940840578219047,0.004959102834507948,0.6980194454447245,0.99999800725524,1.0727272727272728,1.0727272727272728,0.9978009554915095,1.0022249154643843,0.00023500140945986736,0.019199009083402163,10,False,14
corrected_xy_b4_s3_c25,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,4,0.3,0.0025,-0.0020519847586075723,0.000349388850145238,-0.00022867705555684736,12,0.5197180924944699,0.004928237049230928,0.4762282010391481,0.9999964244528793,1.0702947845804989,0.950915750915751,0.9977740572187389,1.0022463870647733,0.00020140749419161885,0.010838150289017356,10,False,14
top_xy_b6_s9_c25,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,6,0.9,0.0025,-0.002417317907585037,-0.00010863787736492547,-0.00010863787736470343,12,0.15956582128710325,0.0006584700859097691,0.8400843664797571,0.9999988560318018,1.0714285714285714,1.0714285714285714,0.9978498512456727,1.0021731338367184,0.0002858887435939206,0.010234786160065207,10,False,14
corrected_xy_b6_s6_c25,corrected_xy,dt|wS2CDF_max|yS2Tcor_max|xS2Bcor_max,6,0.6,0.0025,-0.006573559489337022,0.0007288540188602477,0.00044268462142993403,12,0.23151396676783786,0.004928237049230928,0.7671588044652503,0.9999984171119752,1.0350877192982455,1.0350877192982455,0.9978118170932087,1.0021983205202245,0.00037117927908669746,0.015483071841453339,10,False,14
top_xy_b4_s9_c25,top_xy,dt|wS2CDF_max|xS2T_max|yS2T_max,4,0.9,0.0025,-0.0072358643983803095,-0.00025735424051598343,-0.0006229500086774031,12,0.18439220124492,0.0006584700859097691,0.8150727918102783,0.9999986546640665,1.0714285714285714,1.0714285714285714,0.9978242334130647,1.0021957614166397,0.0002166117026010106,0.015586292320396378,10,False,14
